DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-10 12:00:17.524 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 970698876, 0.900515, 0.029549921, 0.10467821, 0.42100123
2, 970715543, 0.9004205, 0.030620353, 0.10518229, 0.4210013
3, 970732210, 0.9003485, 0.030886222, 0.105793625, 0.42098287
4, 970748877, 0.9002342, 0.03159385, 0.10645193, 0.42100874
5, 970765544, 0.90012944, 0.032803785, 0.10716866, 0.42095852
6, 970782211, 0.90009254, 0.033602636, 0.10752391, 0.42088377
7, 970798878, 0.90016896, 0.03323609, 0.10725853, 0.42081708
8, 970815545, 0.90023726, 0.032816045, 0.10684366, 0.4208096
9, 970832212, 0.9002221, 0.033298597, 0.1071915, 0.42071548
10, 970848879, 0.9000945, 0.03420452, 0.107893795, 0.42073634
11, 970865546, 0.9000613, 0.034261893, 0.108162254, 0.42073348
12, 970882213, 0.90012205, 0.033518437, 0.10802766, 0.42069814
13, 970898880, 0.90013397, 0.03345464, 0.108133934, 0.42065036
14, 970915547, 0.90008694, 0.034187257, 0.10850458, 0.42059666
15, 970932214, 0.90007347, 0.034598075, 0.10874132, 0.42053068
16, 970948881, 0.900138, 0.034107137, 0.10874733, 0.42043123
17, 970965548, 0.900104, 0.033539098, 0.108855456, 0.42052212
18, 970982215, 0.90023714, 0.033744164, 0.10924024, 0.42012036
19, 970998882, 0.90015125, 0.03411593, 0.109738566, 0.4201447
20, 971015549, 0.9001523, 0.034010038, 0.10983863, 0.42012444
21, 971032216, 0.90012395, 0.033735543, 0.10967904, 0.4202491
22, 971048883, 0.9000761, 0.033898782, 0.10964046, 0.42034847
23, 971065550, 0.89981556, 0.03417714, 0.10979839, 0.42084256
24, 971082217, 0.89953667, 0.034108147, 0.11003303, 0.42138246
25, 971098884, 0.8995646, 0.034276422, 0.11003938, 0.4213074
26, 971115551, 0.89956206, 0.034591258, 0.10992613, 0.42131668
27, 971132218, 0.89959794, 0.034475997, 0.1097489, 0.42129585
28, 971148885, 0.89971346, 0.03361632, 0.10946851, 0.4211917
29, 971165552, 0.89981776, 0.032939106, 0.10902464, 0.42113742
30, 971182219, 0.89972055, 0.033121627, 0.10870723, 0.42141303
31, 971198886, 0.8996853, 0.03366978, 0.108556405, 0.42148364
32, 971215553, 0.89952147, 0.03336019, 0.10855879, 0.421857
33, 971232220, 0.8993391, 0.03246074, 0.10857038, 0.42231283
34, 971248887, 0.89937603, 0.032164108, 0.10857991, 0.42225444
35, 971265554, 0.89939797, 0.03277145, 0.10869228, 0.42213205
36, 971282221, 0.8992699, 0.033001058, 0.10876603, 0.42236817
37, 971298888, 0.8995846, 0.032307148, 0.10867823, 0.42177373
38, 971315555, 0.8997248, 0.031256407, 0.108776614, 0.4215286
39, 971332222, 0.8999138, 0.031115942, 0.109149486, 0.4210386
40, 971348889, 0.8998573, 0.03161678, 0.10950039, 0.42103118
41, 971365556, 0.89999497, 0.031764783, 0.10944762, 0.42073902
42, 971382223, 0.9002171, 0.03135257, 0.10918063, 0.42036387
43, 971398890, 0.90042645, 0.031331364, 0.10911651, 0.4199336
44, 971415557, 0.90068877, 0.03180536, 0.10954999, 0.419222
45, 971432224, 0.9005184, 0.031710707, 0.110094145, 0.41945252
46, 971448891, 0.9005234, 0.031138025, 0.11046529, 0.41938707
47, 971465558, 0.90045863, 0.030959854, 0.11084702, 0.41943863
48, 971482225, 0.900333, 0.031353857, 0.1114618, 0.41951624
49, 971498892, 0.9005007, 0.031315345, 0.11201312, 0.41901204
50, 971515559, 0.90018725, 0.030373175, 0.11238831, 0.41965398
51, 971532226, 0.900015, 0.029702004, 0.11277658, 0.4199667
52, 971548893, 0.8993761, 0.029467389, 0.11358392, 0.421133
53, 971565560, 0.89913017, 0.028756224, 0.11470761, 0.4214026
54, 971582227, 0.8989048, 0.027202746, 0.115484096, 0.42177463
55, 971598894, 0.8986084, 0.025971835, 0.11608792, 0.4223177
56, 971615561, 0.89881206, 0.025886312, 0.11709241, 0.42161152
57, 971632228, 0.8986751, 0.0256328, 0.11855311, 0.42151108
58, 971648895, 0.898256, 0.024677858, 0.11991998, 0.42207393
59, 971665562, 0.8978776, 0.02350378, 0.121299736, 0.42255184
60, 971682229, 0.8980863, 0.022509648, 0.12278214, 0.42173335
61, 971698896, 0.897643, 0.021167353, 0.12422668, 0.4223229
62, 971715563, 0.89789635, 0.020083448, 0.12540329, 0.42148903
63, 971732230, 0.8983845, 0.01963562, 0.1266823, 0.4200852
64, 971748897, 0.8981851, 0.019529765, 0.1284246, 0.4199876
65, 971765564, 0.8977732, 0.01881116, 0.13055225, 0.42024472
66, 971782231, 0.8976026, 0.017866295, 0.13253444, 0.42002982
67, 971798898, 0.8974981, 0.01760767, 0.13445015, 0.41965535
68, 971815565, 0.8974299, 0.017880378, 0.13638338, 0.41916528
69, 971832232, 0.897431, 0.017219445, 0.13813548, 0.41861686
70, 971848899, 0.89739245, 0.015707808, 0.13956559, 0.41828448
71, 971865566, 0.8972348, 0.01476397, 0.14120607, 0.41810608
72, 971882233, 0.8968775, 0.014695525, 0.14336604, 0.41814008
73, 971898900, 0.8965278, 0.014431863, 0.14539398, 0.41819927
74, 971915567, 0.8963356, 0.013236863, 0.14689577, 0.41812557
75, 971932234, 0.89623433, 0.011862652, 0.14822236, 0.41791594
76, 971948901, 0.8960369, 0.011135802, 0.14999351, 0.4177268
77, 971965568, 0.8956827, 0.010735555, 0.15198845, 0.41777614
78, 971982235, 0.8952719, 0.009503274, 0.15380447, 0.41802177
79, 971998902, 0.8948206, 0.007558683, 0.15529673, 0.4184759
80, 972015569, 0.89427286, 0.0065282136, 0.15707296, 0.419001
81, 972032236, 0.8936911, 0.0063004983, 0.15950298, 0.4193272
82, 972048903, 0.89314294, 0.005609473, 0.16196741, 0.4195604
83, 972065570, 0.89264995, 0.004143694, 0.16423562, 0.41974494
84, 972082237, 0.89219654, 0.0029165677, 0.16656925, 0.41979933
85, 972098904, 0.8917374, 0.001927845, 0.16919483, 0.4197306
86, 972115571, 0.8913617, 4.980895E-4, 0.17169943, 0.4195156
87, 972132238, 0.8910257, -0.0012605402, 0.1740817, 0.41924584
88, 972148905, 0.8906137, -0.0027178866, 0.17664267, 0.41904324
89, 972165572, 0.8900982, -0.0041271704, 0.17947593, 0.4189231
90, 972182239, 0.8895797, -0.006042292, 0.18219575, 0.41882733
91, 972198906, 0.8890461, -0.007882123, 0.18456796, 0.41889107
92, 972215573, 0.88833994, -0.008871433, 0.18725424, 0.41917706
93, 972232240, 0.88742423, -0.009222546, 0.19067158, 0.41956857
94, 972248907, 0.8863834, -0.010030426, 0.19451603, 0.4199855
95, 972265574, 0.8853908, -0.011358894, 0.19824561, 0.42030102
96, 972282241, 0.88442767, -0.012172459, 0.20200464, 0.42051622
97, 972298908, 0.8834385, -0.012699655, 0.20593865, 0.42067164
98, 972315575, 0.8824989, -0.014637096, 0.20965913, 0.42074308
99, 972332242, 0.8817415, -0.017932288, 0.21254879, 0.42075327
100, 972348909, 0.8811112, -0.02103193, 0.21521103, 0.42057717
101, 972365576, 0.880398, -0.022997929, 0.21838562, 0.42033124
102, 972382243, 0.87962943, -0.024991835, 0.22168046, 0.42010137
103, 972398910, 0.87875026, -0.028424852, 0.22460218, 0.4201716
104, 972415577, 0.87809724, -0.031654675, 0.2270183, 0.42000726
