DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-10 12:00:17.523 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 991090003, 0.952172, 0.1836077, 0.066631645, 0.23498295
2, 991106670, 0.9519683, 0.18460523, 0.0658866, 0.2352369
3, 991123337, 0.95175695, 0.18565074, 0.06540532, 0.23540317
4, 991140004, 0.95174104, 0.18584703, 0.06519557, 0.23537116
5, 991156671, 0.95181954, 0.18553428, 0.06505023, 0.23534048
6, 991173338, 0.9517994, 0.18552636, 0.06504483, 0.23542988
7, 991190005, 0.95171344, 0.18585065, 0.0650515, 0.23551977
8, 991206672, 0.9516766, 0.18606392, 0.06509429, 0.23548836
9, 991223339, 0.95167595, 0.18607432, 0.06522881, 0.23544565
10, 991240006, 0.9516448, 0.18619883, 0.06549402, 0.23539944
11, 991256673, 0.9515655, 0.18657415, 0.06571862, 0.23536055
12, 991273340, 0.9514998, 0.18689717, 0.06591694, 0.2353143
13, 991290007, 0.9515246, 0.18668248, 0.06608407, 0.235337
14, 991306674, 0.95155835, 0.18634558, 0.06620782, 0.23543319
15, 991323341, 0.95160323, 0.18643203, 0.0663415, 0.23514521
16, 991340008, 0.951585, 0.18666309, 0.066547275, 0.23497772
17, 991356675, 0.9515561, 0.18672477, 0.06671821, 0.23499687
18, 991373342, 0.95157945, 0.18675171, 0.0668151, 0.23485364
19, 991390009, 0.9515537, 0.1869862, 0.06694214, 0.23473519
20, 991406676, 0.95149565, 0.18724564, 0.06711722, 0.23471363
21, 991423343, 0.95152426, 0.18707198, 0.06716747, 0.23472206
22, 991440010, 0.9515253, 0.18666439, 0.06718857, 0.2350362
