DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-24 09:00:44.170 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 158776589, 0.9954559, -0.019756803, 0.06785509, -0.06381875
2, 158793256, 0.99540806, -0.019462377, 0.06799783, -0.064499766
3, 158809923, 0.99534637, -0.019354373, 0.06839643, -0.065062225
4, 158826590, 0.9952908, -0.019414349, 0.06876542, -0.06550471
5, 158843257, 0.995224, -0.019318108, 0.0693776, -0.06590054
6, 158859924, 0.995178, -0.018996285, 0.06987476, -0.06616294
7, 158876591, 0.9951479, -0.018870207, 0.070189774, -0.06631807
8, 158893258, 0.9951376, -0.018790567, 0.07027016, -0.066410094
9, 158909925, 0.99512655, -0.018675452, 0.07042741, -0.06644267
10, 158926592, 0.9951118, -0.018498488, 0.070591666, -0.06653728
11, 158943259, 0.9951029, -0.01837406, 0.07061813, -0.066677816
12, 158959926, 0.9950893, -0.018329434, 0.070686534, -0.06681953
13, 158976593, 0.99505657, -0.018421192, 0.07100688, -0.06694208
14, 158993260, 0.9950382, -0.018591389, 0.07121399, -0.06694826
15, 159009927, 0.99504775, -0.018683814, 0.07113886, -0.06685978
16, 159026594, 0.9950414, -0.018694915, 0.07102252, -0.067075886
17, 159043261, 0.99503756, -0.018738924, 0.07094232, -0.067203544
18, 159059928, 0.9950949, -0.018824665, 0.07078095, -0.06649894
19, 159076595, 0.99509513, -0.01878648, 0.070524685, -0.06677653
20, 159093262, 0.9950755, -0.018686103, 0.070369154, -0.06726033
21, 159109929, 0.9950984, -0.018712886, 0.07008122, -0.06721379
22, 159126596, 0.99510056, -0.018768212, 0.06984549, -0.06741168
23, 159143263, 0.9951658, -0.01882752, 0.0697135, -0.06656304
24, 159159930, 0.9951438, -0.018737832, 0.06967906, -0.0669519
25, 159176597, 0.995158, -0.018657649, 0.06942459, -0.06702832
26, 159193264, 0.9952087, -0.018694183, 0.068926066, -0.066779494
27, 159209931, 0.9952387, -0.018652428, 0.06816438, -0.06712635
28, 159226598, 0.99533314, -0.01858621, 0.06736695, -0.06654606
29, 159243265, 0.9954296, -0.018504417, 0.06652507, -0.065970756
30, 159259932, 0.9954986, -0.0184791, 0.06580042, -0.065662056
31, 159276599, 0.9956131, -0.018488074, 0.065210864, -0.06450078
