DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:32:16.198 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 241874180, 0.9451709, -0.057492442, 0.22299525, 0.23156026, -0.015353329, 0.053247605, -0.014156342
2, 241890847, 0.94511575, -0.056736376, 0.2231067, 0.23186383, -0.015697315, 0.08876764, 0.09426308
3, 241907514, 0.94512093, -0.05579615, 0.22296569, 0.23220609, -0.08295706, 0.010415201, 0.037568092
4, 241924181, 0.9449715, -0.05545768, 0.22333142, 0.23254336, -0.014017839, -0.035765592, -0.16994381
5, 241940848, 0.94481266, -0.055450223, 0.22377916, 0.2327597, 0.040631525, -0.10299276, -0.24093723
6, 241957515, 0.94463646, -0.05529057, 0.22439682, 0.23291875, -0.042411808, -0.051906135, -0.03679943
7, 241974182, 0.9444484, -0.054773893, 0.22511083, 0.23311418, 0.033530742, -0.00955937, 0.17876434
8, 241990849, 0.9443172, -0.054547213, 0.22544503, 0.23337542, 0.003009155, 0.012017565, 0.29152393
9, 242007516, 0.9442565, -0.05458382, 0.22543262, 0.23362431, 0.10482936, 0.03387808, 0.22767735
10, 242024183, 0.94424343, -0.054290995, 0.22532837, 0.23384643, 0.028431071, 0.040045027, 0.17114353
11, 242040850, 0.94426554, -0.0534999, 0.22525309, 0.23401143, 0.006786971, 0.045708008, 0.26451874
12, 242057517, 0.9443163, -0.052810743, 0.22507274, 0.23413624, 0.0044890344, 0.07040935, 0.28689575
13, 242074184, 0.94437486, -0.05249228, 0.22476082, 0.23427199, 0.07140725, 0.11973729, 0.15468693
14, 242090851, 0.94444144, -0.052201204, 0.22433656, 0.23447591, -0.030983813, 0.13615747, 0.059651375
15, 242107518, 0.9444635, -0.051720425, 0.22403908, 0.23477685, -0.007976954, 0.060694635, 0.020679474
16, 242124185, 0.9444823, -0.051434416, 0.22380073, 0.2349912, -0.052158087, 0.018577391, 0.0051431656
17, 242140852, 0.9444569, -0.051429104, 0.22384462, 0.23505305, -0.0241242, 0.00788699, -0.082886696
18, 242157519, 0.9444226, -0.051199242, 0.22393781, 0.23515257, -9.883743E-4, 0.04800969, -0.016216278
19, 242174186, 0.9443786, -0.050553296, 0.22388431, 0.23551908, 0.035659257, -0.0049974145, -0.002855301
20, 242190853, 0.9445306, -0.049963187, 0.22365801, 0.23525067, 0.07257399, -0.027129248, -0.030223846
21, 242207520, 0.9445907, -0.05007349, 0.22333342, 0.23529455, -0.018954793, -0.07624007, -0.092918396
22, 242224187, 0.9446099, -0.050467916, 0.22328435, 0.23517989, -0.060318325, -0.034410212, -0.16261387
23, 242240854, 0.9444822, -0.050598808, 0.22359648, 0.23536757, -0.0371597, 0.045431133, -0.06675339
24, 242257521, 0.9443716, -0.050379448, 0.22383247, 0.23563391, 0.059254847, 0.12091283, 0.10506916
25, 242274188, 0.94439125, -0.05009226, 0.22386487, 0.23558573, 0.07073648, 0.04941662, 0.0848856
26, 242290855, 0.9443437, -0.05038123, 0.22375596, 0.23581758, 0.014278678, -0.008777717, 0.023014069
27, 242307522, 0.9442918, -0.050674703, 0.22381914, 0.23590304, 0.0213285, 0.0047275503, 0.001914978
28, 242324189, 0.9442857, -0.050540477, 0.22398742, 0.23579666, 0.01406567, 0.018178085, 0.0066928864
29, 242340856, 0.9442373, -0.050085127, 0.22414157, 0.23594096, 0.04939748, 0.043435972, 0.068045616
30, 242357523, 0.944286, -0.04963072, 0.2242245, 0.23576352, 1.8752737E-4, -7.411969E-4, 0.0066785812
31, 242374190, 0.94421256, -0.04981747, 0.22426912, 0.23597519, 0.046377372, 0.0063451696, -0.0029449463
32, 242390857, 0.9440994, -0.05029098, 0.22421077, 0.23638234, 0.042282168, 0.029981498, 0.05752945
33, 242407524, 0.9439692, -0.050313514, 0.22418924, 0.23691773, 0.024706228, 3.5544147E-4, 0.06620312
34, 242424191, 0.94383615, -0.04994059, 0.22439396, 0.2373325, 0.044720247, -0.14342386, -0.016705513
35, 242440858, 0.94371694, -0.049716976, 0.22472912, 0.23753628, 0.093233734, -0.21931398, 0.020508766
36, 242457525, 0.9436393, -0.049499396, 0.22510968, 0.23752986, 0.087120436, -0.14013268, 0.24388885
37, 242474192, 0.9437264, -0.049115073, 0.22517414, 0.23720227, 0.022091126, -0.03695781, 0.37827396
38, 242490859, 0.9437713, -0.048994303, 0.22485769, 0.23734897, 0.06394572, -0.027923837, 0.27698612
39, 242507526, 0.94388497, -0.04885484, 0.22446671, 0.23729561, -0.0095343925, -0.066975884, -0.0040693283
40, 242524193, 0.94400835, -0.048593182, 0.22438842, 0.23693213, -0.037861083, -0.09935693, -0.26647186
41, 242540860, 0.9439196, -0.04854975, 0.22463772, 0.23705858, -0.02594382, -0.06665771, -0.31817436
42, 242557527, 0.9437154, -0.04847784, 0.22530483, 0.23725328, 0.005547815, -0.030582774, -0.23850536
43, 242574194, 0.94349164, -0.048349675, 0.22596349, 0.23754296, 0.033533648, -0.018854156, -0.06510067
44, 242590861, 0.94337714, -0.0484543, 0.22649673, 0.23746856, 0.06772823, -0.020773489, -0.008760452
45, 242607528, 0.94337136, -0.04867014, 0.22659609, 0.23735222, 0.0809669, -0.04516082, -0.026237488
46, 242624195, 0.94332755, -0.048679233, 0.22656083, 0.23755822, 0.024291836, -0.0499402, -0.15907669
47, 242640862, 0.9433844, -0.04844752, 0.22668971, 0.23725618, 0.05149962, -0.0276402, -0.27559948
48, 242657529, 0.9432858, -0.048578933, 0.22711638, 0.23721316, 0.053805605, 0.034713488, -0.38803196
49, 242674196, 0.9433864, -0.048442915, 0.22787088, 0.23611543, 0.0017132268, 0.14696555, -0.23679352
50, 242690863, 0.94318825, -0.048010856, 0.22868726, 0.23620558, 0.022530777, 0.20171106, -0.07952404
51, 242707530, 0.9430714, -0.04749207, 0.22925577, 0.23622584, 0.14656058, 0.09144334, -0.111582756
52, 242724197, 0.9428043, -0.04782963, 0.22947529, 0.23700954, 0.09638572, 0.02542946, -0.24412632
53, 242740864, 0.9426661, -0.048083395, 0.22987536, 0.23711987, 0.00825478, -0.054801606, -0.28456783
54, 242757531, 0.942395, -0.047988284, 0.23058054, 0.23753211, 0.029327359, -0.12467508, -0.3350563
55, 242774198, 0.94205093, -0.04791651, 0.23160924, 0.23791036, 0.047643576, -0.18586099, -0.40798283
56, 242790865, 0.941716, -0.048205964, 0.23268174, 0.23813169, 0.07451765, -0.15617093, -0.44934082
57, 242807532, 0.9414035, -0.048139285, 0.23377559, 0.2383092, 0.041812792, -0.15667619, -0.43633366
58, 242824199, 0.94107044, -0.047393244, 0.23503274, 0.23853728, -0.001414837, -0.22875649, -0.46789265
59, 242840866, 0.94072926, -0.047072336, 0.23626788, 0.23872676, 0.026156157, -0.3346307, -0.7165146
60, 242857533, 0.940392, -0.04738601, 0.2376219, 0.23864889, 0.043021996, -0.34819362, -0.9344263
61, 242874200, 0.9400015, -0.047446556, 0.23930627, 0.23849207, -0.056424506, -0.31901842, -0.9930229
62, 242890867, 0.9395673, -0.047058348, 0.24124181, 0.23832968, -0.020126447, -0.30394748, -0.99784946
63, 242907534, 0.93917507, -0.046608347, 0.24310468, 0.23807156, 0.025547307, -0.34486282, -1.1695757
64, 242924201, 0.9387169, -0.046013117, 0.24524352, 0.23780093, -0.11328508, -0.32075393, -1.3326511
65, 242940868, 0.93808234, -0.04481298, 0.24807225, 0.23759946, -0.05132014, -0.17987052, -1.2192926
66, 242957535, 0.93729335, -0.04276362, 0.25136873, 0.23762637, -0.038467698, -0.10613644, -0.78361225
67, 242974202, 0.9366462, -0.040493432, 0.2541827, 0.23758186, 0.18192993, -0.1352057, -0.531353
68, 242990869, 0.9361198, -0.038698915, 0.25678083, 0.23716167, -0.15293673, -0.47563088, -0.5465927
69, 243007536, 0.93558985, -0.03742401, 0.25934935, 0.23666222, 0.009774892, -0.11413938, -0.73327446
70, 243024203, 0.93498784, -0.035767477, 0.26220152, 0.23615481, -0.1613131, 0.07240996, -0.7768078
71, 243040870, 0.93423903, -0.033602424, 0.26551428, 0.23573473, -0.1377935, 0.049845234, -0.8156462
72, 243057537, 0.9333998, -0.03161932, 0.26906776, 0.23530367, -0.08759249, 0.052541524, -0.95055294
73, 243074204, 0.9324227, -0.030190924, 0.2729544, 0.23488864, -0.12168269, 0.201697, -0.758029
74, 243090871, 0.9313881, -0.028774485, 0.27678457, 0.23468861, -0.102103844, 0.35943684, -0.4019928
75, 243107538, 0.9302643, -0.026786903, 0.28075424, 0.23466583, -0.20219183, 0.14008978, -0.24114132
76, 243124205, 0.9291579, -0.024910765, 0.28464985, 0.23456211, -0.016983408, -0.124383785, -0.33042526
77, 243140872, 0.9280473, -0.024002697, 0.28850776, 0.23434025, -0.095466405, 0.013683994, -0.5102186
78, 243157539, 0.92678237, -0.022948654, 0.29273534, 0.23420891, -0.24628825, 0.10457623, -0.23393631
