DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - High Fidelity,,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:48:43.908 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3],Status
2, 1229486516, 0.999999950619523, -2.1813732875579361E-4, 3.796864999870698E-5, 2.230144370689302E-4, -0.057629728290945176, 0.013080872423570058, 0.1554084182278423, 0
3, 1229503183, 0.9999998472210797, 3.165663626805981E-4, 1.478830705464035E-4, 4.2833882947405927E-4, -0.05590270337359056, 0.011198965845326925, 0.15469780715453593, 0
4, 1229519850, 0.999999936798616, 1.719045411967407E-4, 5.128896558090346E-5, 3.069544506363181E-4, -0.054757932529895276, 0.010538666245990824, 0.15220250107775046, 0
5, 1229536517, 0.9999999326411023, -3.485676756974643E-4, -9.01709882976387E-6, 1.146170069678404E-4, -0.0546324327986947, 0.0099561983215526, 0.15236673657213498, 0
6, 1229553184, 0.9999998770336992, -4.887229178294483E-4, 7.7005443346323E-6, 8.380452105168079E-5, -0.05573700584323494, 0.010385778732746164, 0.15596809898097036, 0
7, 1229569851, 0.9999999735841542, 4.554417513884246E-5, 5.924729986743483E-5, 2.1736415693950076E-4, -0.05544692228169425, 0.009513084105461096, 0.15711148636715147, 0
8, 1229586518, 0.9999998599455157, 4.356163856267803E-4, 1.8100513157633116E-4, 2.3996761451580695E-4, -0.05464101059376623, 0.009803343521804314, 0.15414062077751797, 0
9, 1229603185, 0.9999999766673354, 6.843140742546217E-5, 1.8620317241804796E-4, 8.550350726457824E-5, -0.05391288933912148, 0.009841797383923108, 0.15284385871055056, 0
10, 1229619852, 0.9999998720475847, -4.8824746184372714E-4, -1.4751341995619673E-5, -1.3153565403384304E-4, -0.05609615385263245, 0.010667767280840715, 0.15617557084250466, 0
11, 1229636519, 0.9999999415284397, -2.876974521572456E-4, -1.464200170449015E-4, -1.1284711616652011E-4, -0.057676127565053, 0.012082407176514907, 0.1578894312241881, 0
