DeviceTag:,Xsens DOT,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-10 11:49:33.339 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 326526511, 0.8966632, -0.058795944, 0.09874149, 0.42753756
2, 326543178, 0.8966963, -0.05984041, 0.099559724, 0.42713284
3, 326559845, 0.8965402, -0.06003046, 0.101264946, 0.42703328
4, 326576512, 0.89633197, -0.059196725, 0.10314169, 0.42713767
5, 326593179, 0.89617276, -0.058752395, 0.10429283, 0.4272537
6, 326609846, 0.8961787, -0.05903195, 0.1046822, 0.42710742
7, 326626513, 0.89626116, -0.059295174, 0.10481794, 0.42686462
8, 326643180, 0.8963457, -0.05879427, 0.105140485, 0.42667687
9, 326659847, 0.89636177, -0.058222383, 0.105547726, 0.42662084
10, 326676514, 0.8963707, -0.05830692, 0.10572161, 0.42654747
11, 326693181, 0.8963846, -0.05857659, 0.10570188, 0.4264864
12, 326709848, 0.89641607, -0.058349065, 0.10571255, 0.42644882
13, 326726515, 0.8965122, -0.05794981, 0.1058604, 0.42626444
14, 326743182, 0.8966032, -0.058023367, 0.10594115, 0.42604294
15, 326759849, 0.8966697, -0.0581534, 0.10599724, 0.4258711
16, 326776516, 0.8967387, -0.058098815, 0.10621098, 0.42568004
17, 326793183, 0.8965827, -0.058021493, 0.10648314, 0.42595106
18, 326809850, 0.8965207, -0.05761285, 0.10685726, 0.42604345
19, 326826517, 0.896351, -0.057132382, 0.10743545, 0.4263198
20, 326843184, 0.8962469, -0.05673325, 0.10796042, 0.42645928
21, 326859851, 0.8965126, -0.05663647, 0.10816015, 0.4258624
22, 326876518, 0.8967941, -0.056897953, 0.10800577, 0.42527398
23, 326893185, 0.896902, -0.056672055, 0.108103335, 0.42505154
24, 326909852, 0.89705676, -0.05590518, 0.108586535, 0.42470348
25, 326926519, 0.89707214, -0.05571764, 0.10903704, 0.42457974
26, 326943186, 0.89699304, -0.05619706, 0.10903324, 0.42468464
27, 326959853, 0.89705276, -0.056248415, 0.10889231, 0.42458817
28, 326976520, 0.8968341, -0.055583492, 0.10907019, 0.42509162
29, 326993187, 0.8967061, -0.05480466, 0.10946933, 0.4253601
30, 327009854, 0.8966426, -0.054433696, 0.109847605, 0.4254443
31, 327026521, 0.8965535, -0.054342315, 0.11013729, 0.42556843
32, 327043188, 0.8962598, -0.054169126, 0.11045696, 0.42612618
33, 327059855, 0.8962734, -0.054154884, 0.11064618, 0.42605036
34, 327076522, 0.89630765, -0.05514061, 0.110263504, 0.42595086
35, 327093189, 0.8964095, -0.056329794, 0.109568976, 0.42576024
36, 327109856, 0.89640254, -0.056410562, 0.109526575, 0.42577508
37, 327126523, 0.89648163, -0.055679433, 0.10997924, 0.42558825
38, 327143190, 0.8965028, -0.055326022, 0.110074006, 0.42556494
39, 327159857, 0.89657944, -0.05514615, 0.109567404, 0.4255576
40, 327176524, 0.8965268, -0.054587323, 0.109323464, 0.42580315
41, 327193191, 0.8964527, -0.053933457, 0.10949953, 0.42599723
42, 327209858, 0.8961553, -0.054413743, 0.10926917, 0.42662078
43, 327226525, 0.8961629, -0.055273984, 0.108402096, 0.4267156
44, 327243192, 0.8961867, -0.055066273, 0.10765086, 0.4268824
45, 327259859, 0.8959902, -0.05413161, 0.107525386, 0.4274455
46, 327276526, 0.895832, -0.05361157, 0.10756833, 0.4278316
47, 327293193, 0.89563465, -0.053950854, 0.10758425, 0.4281979
48, 327309860, 0.89537114, -0.054339174, 0.10778749, 0.4286487
49, 327326527, 0.89547426, -0.054292776, 0.10822668, 0.42832828
50, 327343194, 0.8954498, -0.05435366, 0.10853532, 0.42829353
51, 327359861, 0.89574033, -0.05479315, 0.10858033, 0.4276185
52, 327376528, 0.8953267, -0.05546423, 0.10866138, 0.42837673
53, 327393195, 0.8954276, -0.05570897, 0.109045036, 0.4280364
54, 327409862, 0.89531827, -0.055897135, 0.109293915, 0.42817703
55, 327426529, 0.89533675, -0.055808473, 0.109394975, 0.4281242
56, 327443196, 0.8955053, -0.05551636, 0.109650806, 0.42774412
57, 327459863, 0.89564246, -0.055351947, 0.110025935, 0.427382
58, 327476530, 0.89572525, -0.055449754, 0.11025499, 0.42713633
59, 327493197, 0.89582187, -0.055367455, 0.110324465, 0.42692637
60, 327509864, 0.8959327, -0.05477288, 0.110436626, 0.42674145
61, 327526531, 0.89610344, -0.05407194, 0.11071695, 0.4263995
62, 327543198, 0.89618903, -0.053819187, 0.11109654, 0.42615286
63, 327559865, 0.8962892, -0.054367963, 0.11138175, 0.425798
64, 327576532, 0.896355, -0.055075176, 0.111382894, 0.4255682
65, 327593199, 0.89640754, -0.054949425, 0.11156478, 0.42542621
66, 327609866, 0.8964404, -0.05443351, 0.11201312, 0.42530578
67, 327626533, 0.89639705, -0.05428598, 0.11239444, 0.42531517
68, 327643200, 0.896664, -0.054244325, 0.11256244, 0.42471284
69, 327659867, 0.8964992, -0.05408586, 0.11268119, 0.42504933
70, 327676534, 0.8966294, -0.053844795, 0.11296563, 0.4247299
71, 327693201, 0.8965308, -0.05422739, 0.11318395, 0.424831
72, 327709868, 0.8968217, -0.0547181, 0.11324189, 0.42413828
73, 327726535, 0.896742, -0.05449172, 0.11355035, 0.42425364
74, 327743202, 0.8968364, -0.053606845, 0.114082694, 0.42402354
75, 327759869, 0.8966085, -0.05344146, 0.11426656, 0.42447686
76, 327776536, 0.8967999, -0.053862005, 0.11394956, 0.42410424
77, 327793203, 0.8966117, -0.054099817, 0.1136939, 0.42454037
78, 327809870, 0.8961758, -0.053908948, 0.11386478, 0.42543834
79, 327826537, 0.8958761, -0.05373735, 0.114004165, 0.42605367
80, 327843204, 0.8957003, -0.053904023, 0.11393228, 0.42642108
81, 327859871, 0.895643, -0.054187022, 0.11386929, 0.4265224
82, 327876538, 0.89558774, -0.054295134, 0.113974996, 0.4265964
83, 327893205, 0.89580184, -0.054238766, 0.11423811, 0.42608312
84, 327909872, 0.89559084, -0.054559037, 0.11435932, 0.42645326
85, 327926539, 0.89541316, -0.054908864, 0.11437796, 0.4267767
86, 327943206, 0.8953034, -0.055143937, 0.11438185, 0.42697522
87, 327959873, 0.89509, -0.055454943, 0.11424669, 0.42741826
88, 327976540, 0.89511603, -0.056182984, 0.11408336, 0.42731246
89, 327993207, 0.8949908, -0.056869533, 0.114053324, 0.42749208
90, 328009874, 0.8952046, -0.056880236, 0.11426057, 0.42698735
91, 328026541, 0.89542913, -0.056516383, 0.11444861, 0.4265139
92, 328043208, 0.8956856, -0.056431726, 0.11435604, 0.4260115
93, 328059875, 0.8958264, -0.056853767, 0.11403173, 0.42574602
94, 328076542, 0.89589566, -0.057053655, 0.11379092, 0.42563775
95, 328093209, 0.8959423, -0.05670112, 0.11374266, 0.42559978
96, 328109876, 0.8959706, -0.0564021, 0.11360485, 0.42561644
97, 328126543, 0.8960332, -0.056532282, 0.11322797, 0.42556798
98, 328143210, 0.8957181, -0.056410715, 0.11284756, 0.42634752
99, 328159877, 0.8956748, -0.05598293, 0.112639576, 0.4265502
100, 328176544, 0.8956881, -0.05595589, 0.112385124, 0.42659277
101, 328193211, 0.8955553, -0.056489784, 0.11204296, 0.426891
102, 328209878, 0.89538586, -0.056750175, 0.11201503, 0.4272192
103, 328226545, 0.8952094, -0.05649688, 0.11227818, 0.4275538
104, 328243212, 0.89502174, -0.0563532, 0.11225305, 0.4279717
105, 328259879, 0.8948224, -0.056619003, 0.11175819, 0.42848265
106, 328276546, 0.8946307, -0.056764517, 0.11136035, 0.42896694
107, 328293213, 0.8944918, -0.05630853, 0.11150809, 0.4292781
108, 328309880, 0.894265, -0.056013905, 0.11186056, 0.4296972
109, 328326547, 0.8942249, -0.056442045, 0.11184129, 0.42973024
110, 328343214, 0.89416856, -0.05713538, 0.11136239, 0.42988014
111, 328359881, 0.8945121, -0.056880526, 0.111152895, 0.42925268
112, 328376548, 0.89462274, -0.055927206, 0.11141718, 0.42907876
113, 328393215, 0.894656, -0.055539962, 0.11164655, 0.42899996
114, 328409882, 0.89449716, -0.056131683, 0.11148316, 0.42929676
115, 328426549, 0.8945467, -0.05656275, 0.11120729, 0.42920855
116, 328443216, 0.8947384, -0.056009274, 0.111261725, 0.42886725
117, 328459883, 0.89486253, -0.055351302, 0.11133567, 0.42867446
118, 328476550, 0.8949412, -0.05510919, 0.111223675, 0.4285704
119, 328493217, 0.89513123, -0.05536832, 0.1110933, 0.42817402
120, 328509884, 0.89516735, -0.055458777, 0.11123051, 0.4280509
121, 328526551, 0.89525354, -0.05531095, 0.1115417, 0.4278088
122, 328543218, 0.89528966, -0.05519679, 0.111623764, 0.42772657
123, 328559885, 0.8952674, -0.055018764, 0.11153698, 0.4278185
124, 328576552, 0.8952886, -0.05459042, 0.11150145, 0.4278385
125, 328593219, 0.8952683, -0.05402645, 0.11157688, 0.4279327
126, 328609886, 0.89526, -0.053717833, 0.11173525, 0.4279476
127, 328626553, 0.8953036, -0.053753257, 0.11181253, 0.4278319
128, 328643220, 0.89509344, -0.053787764, 0.111911, 0.4282413
129, 328659887, 0.8949902, -0.053452186, 0.11218582, 0.42842722
130, 328676554, 0.8946648, -0.053048547, 0.11245731, 0.4290852
131, 328693221, 0.8945777, -0.053354282, 0.11238046, 0.42924935
132, 328709888, 0.8946563, -0.05424212, 0.11213047, 0.42903927
133, 328726555, 0.8946748, -0.054501273, 0.11220839, 0.42894754
134, 328743222, 0.89462125, -0.053984925, 0.112592086, 0.42902422
135, 328759889, 0.8946101, -0.053835504, 0.11278681, 0.42901495
136, 328776556, 0.89469355, -0.054358173, 0.112467885, 0.42885882
137, 328793223, 0.8948177, -0.054495573, 0.11213678, 0.4286687
138, 328809890, 0.89486474, -0.053791583, 0.112238675, 0.428633
139, 328826557, 0.89498806, -0.053144205, 0.112415045, 0.4284098
140, 328843224, 0.89501536, -0.053201072, 0.11222564, 0.4283955
141, 328859891, 0.8950448, -0.05325212, 0.1119235, 0.4284066
142, 328876558, 0.8950305, -0.0525842, 0.11192404, 0.42851883
143, 328893225, 0.89522606, -0.05139854, 0.11217388, 0.42818895
144, 328909892, 0.894953, -0.050743826, 0.11230834, 0.42880198
145, 328926559, 0.8948058, -0.051022846, 0.11231646, 0.42907393
146, 328943226, 0.8946494, -0.05241879, 0.11220202, 0.42926204
147, 328959893, 0.8944838, -0.053894293, 0.11221571, 0.42942035
148, 328976560, 0.89423186, -0.054577295, 0.112575315, 0.42976445
149, 328993227, 0.8941802, -0.05433943, 0.113045916, 0.4297789
150, 329009894, 0.8941527, -0.05405305, 0.11339653, 0.42977938
151, 329026561, 0.8941491, -0.054470744, 0.11361301, 0.42967722
152, 329043228, 0.894128, -0.055220377, 0.113943584, 0.42953813
153, 329059895, 0.8941345, -0.055641998, 0.1144778, 0.42932785
154, 329076562, 0.89417183, -0.055324927, 0.11498527, 0.42915535
155, 329093229, 0.8943713, -0.054802813, 0.11507783, 0.42878175
156, 329109896, 0.8945632, -0.054628838, 0.11477315, 0.4284852
157, 329126563, 0.89458025, -0.054669145, 0.11452675, 0.42851037
158, 329143230, 0.8945737, -0.054607715, 0.11459783, 0.42851287
159, 329159897, 0.89460546, -0.05442597, 0.11482692, 0.4284083
160, 329176564, 0.89468706, -0.054395616, 0.11490139, 0.428222
161, 329193231, 0.89477235, -0.054230567, 0.114765346, 0.42810124
