DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-10 11:49:33.339 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 346917065, 0.9609049, 0.12098209, 0.063213766, 0.24089277
2, 346933732, 0.9607811, 0.12196242, 0.06427936, 0.24060987
3, 346950399, 0.9608485, 0.12190403, 0.065183066, 0.24012654
4, 346967066, 0.9610616, 0.12104247, 0.06539145, 0.2396527
5, 346983733, 0.96123075, 0.12016919, 0.06530278, 0.23943777
6, 347000400, 0.9613059, 0.11965203, 0.06531097, 0.23939253
7, 347017067, 0.9613351, 0.11945423, 0.06551807, 0.23931715
8, 347033734, 0.961373, 0.11938732, 0.0657309, 0.23914039
9, 347050401, 0.9613815, 0.119613215, 0.065868415, 0.23895586
10, 347067068, 0.9614009, 0.11981856, 0.06592295, 0.23875932
11, 347083735, 0.96145487, 0.119777195, 0.06602227, 0.23853555
12, 347100402, 0.9615301, 0.1195406, 0.066083536, 0.23833387
13, 347117069, 0.9615687, 0.11942528, 0.066147566, 0.23821805
14, 347133736, 0.9615785, 0.11954547, 0.066235796, 0.23809376
15, 347150403, 0.96167356, 0.11964624, 0.06628294, 0.2376458
16, 347167070, 0.9617014, 0.119792655, 0.0663818, 0.2374315
17, 347183737, 0.9617205, 0.120074265, 0.066524275, 0.23717149
18, 347200404, 0.9618158, 0.12028356, 0.066626824, 0.23664993
19, 347217071, 0.96171117, 0.12040123, 0.06682433, 0.23695955
20, 347233738, 0.9617878, 0.12056489, 0.06696566, 0.23652479
21, 347250405, 0.96176314, 0.12098002, 0.06713895, 0.23636416
22, 347267072, 0.961707, 0.12161025, 0.06732751, 0.2362152
23, 347283739, 0.961772, 0.121986054, 0.06752053, 0.23570149
24, 347300406, 0.96164006, 0.12204474, 0.06778678, 0.23613246
25, 347317073, 0.96166134, 0.122129105, 0.0678788, 0.23597547
26, 347333740, 0.96159124, 0.122356795, 0.067983836, 0.23611307
27, 347350407, 0.9616472, 0.12272989, 0.06802317, 0.23568007
28, 347367074, 0.9615899, 0.12281005, 0.06817957, 0.23582709
29, 347383741, 0.9615452, 0.12292117, 0.06839706, 0.23588805
30, 347400408, 0.9614723, 0.12310712, 0.068594195, 0.23603116
31, 347417075, 0.96153843, 0.12331626, 0.0686538, 0.23563442
32, 347433742, 0.96146065, 0.12351339, 0.06880989, 0.23580311
33, 347450409, 0.9614373, 0.12385308, 0.0688679, 0.23570298
34, 347467076, 0.96139354, 0.12401559, 0.0689009, 0.23578632
35, 347483743, 0.9613461, 0.12341634, 0.068852074, 0.23630829
36, 347500410, 0.96157634, 0.12253951, 0.068558484, 0.23591302
37, 347517077, 0.96149963, 0.12232768, 0.06842, 0.23637506
38, 347533744, 0.96146464, 0.122898206, 0.068334065, 0.23624618
39, 347550411, 0.96132, 0.123580344, 0.06842537, 0.23645279
40, 347567078, 0.9612699, 0.124138236, 0.06853072, 0.23633344
41, 347583745, 0.96126074, 0.12455268, 0.068499684, 0.23616189
42, 347600412, 0.9610815, 0.12488439, 0.06840141, 0.23674384
43, 347617079, 0.9609791, 0.12465505, 0.068203844, 0.23733626
44, 347633746, 0.9610286, 0.12412598, 0.068033256, 0.23746239
45, 347650413, 0.96109945, 0.123869516, 0.06804477, 0.23730628
46, 347667080, 0.9611458, 0.12384476, 0.06816584, 0.23709658
47, 347683747, 0.9610945, 0.12389263, 0.06837041, 0.23722048
48, 347700414, 0.9612127, 0.123887666, 0.068527, 0.23669837
49, 347717081, 0.9612312, 0.12388092, 0.06880242, 0.2365471
50, 347733748, 0.9613395, 0.12395838, 0.06906409, 0.2359894
51, 347750415, 0.961342, 0.12372186, 0.06934975, 0.23601954
52, 347767082, 0.9614252, 0.12344338, 0.06956059, 0.2357646
53, 347783749, 0.9614524, 0.12338842, 0.06974367, 0.23562814
54, 347800416, 0.96152395, 0.1231663, 0.06984868, 0.23542075
55, 347817083, 0.9616731, 0.122733645, 0.069907345, 0.23501992
56, 347833750, 0.96181583, 0.122407675, 0.070015624, 0.23457304
57, 347850417, 0.9618744, 0.122633345, 0.07015428, 0.23417342
58, 347867084, 0.9617746, 0.12319716, 0.07040468, 0.2342124
59, 347883751, 0.96182704, 0.123682626, 0.07054974, 0.23369671
