DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.354 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
1, 242230387, 1.0, 8.749309927225113E-5, -7.634051144123077E-5, -2.5130808353424072E-5, 0.013179183006286621, 0.02451986074447632, 0.16209286451339722
2, 242247054, 0.9999999403953552, -1.8291547894477844E-4, -1.7829425632953644E-4, -6.624311208724976E-5, 0.013997197151184082, 0.022450268268585205, 0.16057246923446655
3, 242263721, 1.0, -1.2033246457576752E-4, -1.9399821758270264E-4, -9.765662252902985E-5, 0.012998342514038086, 0.01897907257080078, 0.15976345539093018
4, 242280388, 0.9999998807907104, 4.0094275027513504E-4, -1.6806460916996002E-4, -8.914060890674591E-5, 0.01429140567779541, 0.015517592430114746, 0.15897101163864136
5, 242297055, 0.9999997615814209, 6.347363814711571E-4, 5.7918019592761993E-5, -2.1237321197986603E-4, 0.015949130058288574, 0.024552524089813232, 0.161950945854187
6, 242313722, 0.9999999403953552, -4.682131111621857E-5, -1.434963196516037E-4, -2.4193525314331055E-4, 0.013014376163482666, 0.028304100036621094, 0.162214457988739
7, 242330389, 0.9999999403953552, -3.2911449670791626E-4, -1.6744807362556458E-4, -1.5107542276382446E-4, 0.0135573148727417, 0.021679162979125977, 0.15917760133743286
8, 242347056, 1.0, -7.511302828788757E-5, 6.127823144197464E-5, -1.1107698082923889E-4, 0.01495140790939331, 0.018323123455047607, 0.15828758478164673
9, 242363723, 1.0, -7.88085162639618E-6, 1.1524837464094162E-4, -1.535862684249878E-4, 0.014996528625488281, 0.024510562419891357, 0.16389483213424683
10, 242380390, 1.0, -4.0415674448013306E-5, -2.16728076338768E-4, -3.722868859767914E-5, 0.012845993041992188, 0.02354741096496582, 0.16340100765228271
11, 242397057, 1.0, 1.9563082605600357E-4, -1.256316900253296E-4, 1.951027661561966E-5, 0.013643622398376465, 0.02191394567489624, 0.15901613235473633
12, 242413724, 0.9999999403953552, 3.264574334025383E-4, 2.1480955183506012E-5, 4.957430064678192E-6, 0.015561521053314209, 0.019856512546539307, 0.15852415561676025
13, 242430391, 0.9999999403953552, 3.208192065358162E-4, 8.679646998643875E-5, -1.3834983110427856E-4, 0.01569545269012451, 0.023637235164642334, 0.16211342811584473
14, 242447058, 1.0, 3.7404708564281464E-5, -7.072649896144867E-5, -1.784190535545349E-4, 0.013682425022125244, 0.025542855262756348, 0.16358482837677002
15, 242463725, 1.0, -7.210858166217804E-5, -1.0053440928459167E-4, -6.536394357681274E-5, 0.014321088790893555, 0.020515382289886475, 0.16162532567977905
16, 242480392, 0.9999999403953552, 2.716602757573128E-4, -7.960572838783264E-5, 2.9085204005241394E-6, 0.014375030994415283, 0.01976323127746582, 0.15903890132904053
17, 242497059, 0.9999998807907104, 5.243653431534767E-4, 3.946293145418167E-5, 1.5477649867534637E-5, 0.015202939510345459, 0.019781291484832764, 0.15737032890319824
18, 242513726, 0.9999999403953552, 2.3173820227384567E-4, 1.344522461295128E-4, -7.000379264354706E-5, 0.015935957431793213, 0.026699364185333252, 0.16090476512908936
19, 242530393, 0.9999999403953552, -3.753695636987686E-4, -2.5548040866851807E-5, -8.333101868629456E-5, 0.013391435146331787, 0.026644229888916016, 0.1613156795501709
20, 242547060, 0.9999998211860657, -5.677603185176849E-4, -3.520213067531586E-5, -1.0883249342441559E-4, 0.013617634773254395, 0.022279739379882812, 0.15925592184066772
21, 242563727, 1.0, -1.3492070138454437E-4, 2.0085833966732025E-5, -7.516331970691681E-5, 0.014850020408630371, 0.018258869647979736, 0.1600174903869629
22, 242580394, 0.9999998211860657, 5.756309255957603E-4, 1.74754299223423E-4, -7.041357457637787E-5, 0.015744328498840332, 0.01984792947769165, 0.16115564107894897
23, 242597061, 0.9999998807907104, 4.149852320551872E-4, 1.3573002070188522E-4, -3.36766242980957E-5, 0.013724744319915771, 0.026923298835754395, 0.16216611862182617
24, 242613728, 1.0, -2.1327286958694458E-5, 4.680361598730087E-5, -5.2306801080703735E-5, 0.01376265287399292, 0.024777710437774658, 0.15990662574768066
25, 242630395, 1.0, 2.4599023163318634E-5, 1.2042839080095291E-4, 1.758430153131485E-5, 0.01416170597076416, 0.02120828628540039, 0.1588345766067505
26, 242647062, 0.9999999403953552, 1.2837257236242294E-4, 2.81001441180706E-4, 7.488671690225601E-5, 0.015739023685455322, 0.02101033926010132, 0.16070997714996338
27, 242663729, 1.0, -4.803016781806946E-5, 1.2959446758031845E-4, -5.396641790866852E-5, 0.014028966426849365, 0.027174532413482666, 0.16514670848846436
