DeviceTag:;Xsens DOT 1;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:11:18.837 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2145783147; 0.9999986640372596; 1.262161692553443E-4; 9.59825777418752E-4; 0.0013170906011517047; -0.16270745978712817; -0.0218244481091325; -4.721034138620503E-4; 1.85107421875; -1.68896484375; 0.840576171875;0
3;2145799814; 0.9999988190763801; 1.3825619159754665E-4; 8.701335317942983E-4; 0.0012592055858389741; -0.1632646534463045; -0.020240679558324995; -8.609997775467001E-4; 1.84814453125; -1.689697265625; 0.84375;0
4;2145816481; 0.9999989859166115; 8.628766501289631E-6; 7.959402889210627E-4; 0.0011809192815170344; -0.1633731677609587; -0.018347940552319534; -2.9070801235425367E-4; 1.848388671875; -1.69091796875; 0.845703125;0
5;2145833148; 0.9999991445158415; -1.9126317960801997E-4; 7.21354818829914E-4; 0.0010742593758072407; -0.1637561393810641; -0.01746907038952734; 4.1166146697215605E-5; 1.849365234375; -1.692626953125; 0.8486328125;0
6;2145849815; 0.9999993619073501; -2.2490027159291492E-4; 5.189657815614369E-4; 9.77895330815104E-4; -0.1647944628601811; -0.018543359824041133; 4.94832979390819E-4; 1.84375; -1.69482421875; 0.847412109375;0
7;2145866482; 0.9999995480198379; -1.0143696389448842E-4; 3.163607231983501E-4; 8.908347518349348E-4; -0.16459026633201343; -0.019086530736939673; 3.5094739400982726E-4; 1.843505859375; -1.6962890625; 0.84765625;0
8;2145883149; 0.9999996436737816; -4.0969081093356063E-5; 1.565338966033614E-4; 8.285354449580895E-4; -0.1646038163196503; -0.01685066076290442; -5.215721942968838E-4; 1.843505859375; -1.69775390625; 0.84814453125;0
9;2145899816; 0.9999996975071619; -2.9034526065119248E-5; 6.325225934217249E-6; 7.772403569590304E-4; -0.16441895711818275; -0.016185877606765396; -9.265681442516289E-4; 1.84423828125; -1.6982421875; 0.847900390625;0
10;2145916483; 0.9999997251717253; -1.5797105626071117E-4; -9.143699725759626E-5; 7.185686431004923E-4; -0.164312273848085; -0.01466983011277603; -7.764681169483076E-4; 1.841552734375; -1.697509765625; 0.8505859375;0
11;2145933150; 0.999999727552322; -2.776150726376686E-4; -1.639151107030168E-4; 6.640459243693054E-4; -0.16400975799234724; -0.01386392658515063; -0.0013363059906275516; 1.838623046875; -1.69775390625; 0.849853515625;0
12;2145949817; 0.9999996619792995; -4.95371892358959E-4; -1.621273929462708E-4; 6.358951829256165E-4; -0.16391369006701673; -0.012922335431966595; -0.0015954028366722082; 1.839111328125; -1.69873046875; 0.8486328125;0
