DeviceTag:;Xsens DOT 2;;;;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;;;;
Measurement Mode:;Inertial Mode - High Fidelity (with mag);;;;;;;;;;;
StartTime:;2020-07-29 17:14:08.108 +0200;;;;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;;;;
PacketCounter;SampleTimeFine;dQ_W;dQ_X;dQ_Y;dQ_Z;dV[1];dV[2];dV[3];Mag_X;Mag_Y;Mag_Z;Status
2;2308053713; 0.9999998473211671; 5.302699668894295E-4; 2.5266159788595904E-5; 1.5340477762493254E-4; -0.16198739517741317; 0.006409968895663878; 0.03198685416503641; 0.498779296875; -0.1728515625; -0.201904296875;0
3;2308070380; 0.9999998830165073; 4.5780131951439484E-4; 3.1065949433336036E-5; 1.53035389030054E-4; -0.16256338380018776; 0.007049191753835407; 0.031549669919208004; 0.500732421875; -0.171875; -0.19970703125;0
4;2308087047; 0.9999999505245338; 2.6946177877848476E-4; 3.4170933077939607E-5; 1.5866199005770687E-4; -0.16227041944836537; 0.007181687589653832; 0.03183880369227851; 0.498046875; -0.177490234375; -0.200927734375;0
5;2308103714; 0.9999999898748873; 3.108665805903743E-5; 1.2975170928221369E-5; 1.3825877972728498E-4; -0.16214155600260402; 0.006448721265118994; 0.03196609124937241; 0.498046875; -0.1748046875; -0.201904296875;0
6;2308120381; 0.999999986773577; -7.550401545097785E-7; -1.607054979639762E-5; 1.618456461222051E-4; -0.16157216429758112; 0.004910423056819123; 0.03168275394539996; 0.497314453125; -0.17529296875; -0.202392578125;0
7;2308137048; 0.9999999685327039; 1.5502738900891044E-4; 1.639812591218773E-5; 1.9655076049840406E-4; -0.16129817284302017; 0.0047138474144176115; 0.03126542723400497; 0.4990234375; -0.17626953125; -0.2021484375;0
8;2308153715; 0.9999999174598463; 3.4754791817487307E-4; 7.889655849494666E-5; 1.9510530057492703E-4; -0.16207423240885221; 0.005339868541104874; 0.03139220429618838; 0.496826171875; -0.17626953125; -0.2001953125;0
9;2308170382; 0.9999999400853343; 3.039994861226414E-4; 1.0264835071181581E-4; 1.299113398698926E-4; -0.16265291837793427; 0.007555500359816433; 0.03137299936045131; 0.499267578125; -0.17822265625; -0.20458984375;0
10;2308187049; 0.999999992082248; 6.858069566506586E-5; 8.282692481410837E-5; 6.535971759175085E-5; -0.16267793329321478; 0.008407267912901945; 0.03142990754156366; 0.49853515625; -0.175048828125; -0.201904296875;0
11;2308203716; 0.999999990429782; -1.2175904222944123E-4; 6.065100223342363E-5; 2.5231479874598953E-5; -0.1622652912397021; 0.007786679821736621; 0.0314222918438506; 0.49951171875; -0.178466796875; -0.20068359375;0
12;2308220383; 0.9999999784997738; -1.9399537880315787E-4; 6.68860880067377E-5; 2.987467375731301E-5; -0.1613778774713746; 0.007021792830333204; 0.03139646976962941; 0.496337890625; -0.178955078125; -0.20263671875;0
13;2308237050; 0.9999999821292752; -1.618575527516375E-4; 8.075603831654739E-5; 5.4973122014856386E-5; -0.16152135453639802; 0.00647200724360452; 0.03117123718778307; 0.499755859375; -0.18017578125; -0.2001953125;0
14;2308253717; 0.9999999875202287; -1.1505207004250395E-4; 6.863789635467613E-5; 8.373411966161592E-5; -0.16174521141356032; 0.0071217897615561965; 0.030974504437006112; 0.497802734375; -0.177001953125; -0.202392578125;0
15;2308270384; 0.9999999776703267; -1.670465182108949E-4; 3.1576662359002895E-5; 1.2552976271529295E-4; -0.1623223760495897; 0.00757467827362817; 0.03068295606917875; 0.500244140625; -0.177734375; -0.200927734375;0
16;2308287051; 0.99999995676639; -2.5340687516647864E-4; 3.449702553337542E-6; 1.4913173169095462E-4; -0.1624743833726262; 0.0074025221102505465; 0.031123600839660266; 0.50244140625; -0.1787109375; -0.200927734375;0
