DeviceTag:,Xsens DOT 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:37:19.054 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3147194732, 7.705856E-4, -0.02387519, 0.02544631, -0.99939173, -0.04376558, 0.28603694, 0.13352776, 0
2, 3147211399, 4.8163533E-4, -0.024505267, 0.027365694, -0.99932605, -0.07584519, 0.41633472, 0.33484554, 0
3, 3147228066, 5.0282106E-4, -0.025442515, 0.029995155, -0.9992269, -0.014121832, 0.18651235, 0.32316494, 0
4, 3147244733, 5.0111674E-4, -0.026111018, 0.031584565, -0.9991608, 0.06686196, 0.054370556, 0.36827946, 0
5, 3147261400, 2.570115E-4, -0.026508516, 0.032215066, -0.9991303, 0.075466216, -0.015576502, 0.23125267, 0
6, 3147278067, -3.8014725E-5, -0.026921896, 0.032222714, -0.99911904, 0.032362893, -3.6420257E-4, 0.22143555, 0
7, 3147294734, -1.8255785E-4, -0.027382022, 0.031757765, -0.9991215, 0.0012902548, 0.020149007, 0.23548889, 0
8, 3147311401, -2.3563765E-4, -0.0278142, 0.030905414, -0.99913627, 0.09249049, -0.111696765, 0.1607151, 0
9, 3147328068, -3.8968958E-4, -0.028239015, 0.029915001, -0.99915427, 0.0861587, -0.22965373, 0.14107037, 0
10, 3147344735, -6.133523E-4, -0.028600642, 0.02878014, -0.9991772, 0.056064453, -0.13046883, 0.11294365, 0
11, 3147361402, -7.376075E-4, -0.02901192, 0.027562011, -0.9991997, -0.015678301, 9.896914E-4, 0.10695171, 0
12, 3147378069, -7.1402267E-4, -0.029374693, 0.026343644, -0.9992221, -0.10057584, -0.040188532, 0.15254402, 0
13, 3147394736, -7.066261E-4, -0.029704984, 0.025200754, -0.9992417, -0.09826491, -0.11201467, 0.16038609, 0
14, 3147411403, -7.490665E-4, -0.030124715, 0.024290495, -0.99925166, -0.07613043, -0.16314782, 0.16089344, 0
15, 3147428070, -9.0766884E-4, -0.030597664, 0.0234599, -0.9992569, -0.096098155, -0.05214107, 0.12436581, 0
16, 3147444737, -8.84125E-4, -0.031078203, 0.022514371, -0.99926406, -0.12103966, 0.03562869, 0.121910095, 0
17, 3147461404, -9.1417506E-4, -0.031456355, 0.021415187, -0.9992764, -0.10172241, -0.06095558, 0.10771561, 0
18, 3147478071, -0.0016115103, -0.03171104, 0.020319548, -0.9992903, -0.0907971, -0.1303597, 0.077614784, 0
19, 3147494738, -5.8393367E-4, -0.032006465, 0.019247657, -0.99930316, -0.07372307, -0.15567678, 0.12930965, 0
20, 3147511405, -5.011037E-4, -0.03231006, 0.01840318, -0.9993092, -0.05518645, -0.13471939, 0.19318104, 0
21, 3147528072, -8.131489E-4, -0.03262897, 0.017783104, -0.9993099, -0.03161908, -0.09114525, 0.16357994, 0
22, 3147544739, -8.5223466E-4, -0.032970615, 0.017363423, -0.999306, -0.070743516, -0.08940966, 0.15197372, 0
23, 3147561406, -0.0012112185, -0.03315481, 0.017046534, -0.9993051, -0.14174302, -0.058707688, 0.112338066, 0
24, 3147578073, -0.0013057888, -0.033177216, 0.016572695, -0.9993122, -0.06635361, -0.039671905, 0.026145935, 0
25, 3147594740, -0.0023606196, -0.033103094, 0.016142443, -0.99931973, -0.10246371, -0.0840221, 0.017476082, 0
26, 3147611407, -0.002763074, -0.033089705, 0.015974859, -0.99932194, -0.023954377, -0.117038116, 0.009242058, 0
27, 3147628074, -0.00316065, -0.03320723, 0.016105881, -0.99931455, -0.0030385861, -0.1107844, 0.015563011, 0
28, 3147644741, -0.0033566914, -0.033495273, 0.016246634, -0.9993022, -0.00942792, -0.12167217, 0.13725567, 0
29, 3147661408, -0.0037502553, -0.033699576, 0.016375866, -0.9992918, 0.061150476, -0.028114736, 0.19035149, 0
30, 3147678075, -0.004052814, -0.034054443, 0.016293144, -0.9992799, 0.07841588, -0.035755556, 0.19614601, 0
31, 3147694742, -0.004373906, -0.03442671, 0.016211307, -0.99926704, -0.019335467, -0.036724478, 0.2592392, 0
32, 3147711409, -0.004139174, -0.034626726, 0.016436132, -0.9992575, -0.14915058, -0.049205165, 0.23336887, 0
33, 3147728076, -0.0048444867, -0.03462348, 0.016683824, -0.9992504, -0.032988068, -0.0066554407, 0.19932747, 0
34, 3147744743, -0.005441116, -0.034718312, 0.016953917, -0.9992396, 0.0211771, -0.0108072655, 0.12458515, 0
35, 3147761410, -0.005699422, -0.03494568, 0.01730297, -0.9992242, 0.04234119, -7.8311865E-4, 0.11430931, 0
36, 3147778077, -0.006342493, -0.035349414, 0.017922994, -0.99919516, 0.05214027, -0.044159435, 0.14141273, 0
37, 3147794744, -0.006860677, -0.035886995, 0.01856007, -0.99916095, 0.009241342, -0.10253516, 0.16685009, 0
38, 3147811411, -0.007743364, -0.036396574, 0.019134365, -0.99912524, -0.091023, -0.107915334, 0.16455269, 0
39, 3147828078, -0.008174382, -0.03673324, 0.019406108, -0.99910426, -0.08871599, -0.030909576, 0.17242813, 0
40, 3147844745, -0.008548807, -0.037074443, 0.019526752, -0.99908614, -0.05067297, 0.018035399, 0.14758205, 0
41, 3147861412, -0.008530483, -0.037495393, 0.019546542, -0.99907017, -0.069610745, -0.059514146, 0.14438915, 0
42, 3147878079, -0.008563677, -0.037979547, 0.019501053, -0.99905264, -0.063305564, -0.107712805, 0.1337223, 0
43, 3147894746, -0.008539306, -0.0384081, 0.019423101, -0.99903786, -0.010818813, -0.10817931, 0.11537647, 0
44, 3147911413, -0.009211216, -0.038821265, 0.019488879, -0.9990146, 0.04011824, -0.11612467, 0.108353615, 0
45, 3147928080, -0.008671919, -0.039231736, 0.019591786, -0.9990013, 0.007210632, -0.028967226, 0.09546089, 0
46, 3147944747, -0.008679235, -0.039610475, 0.019540135, -0.9989873, 0.050335243, 0.016151253, 0.13402367, 0
47, 3147961414, -0.009196676, -0.040010307, 0.019365152, -0.9989702, 0.028166652, 0.010963225, 0.15135574, 0
48, 3147978081, -0.008885657, -0.04046935, 0.019091584, -0.9989599, 0.05557521, 0.057121404, 0.16394234, 0
49, 3147994748, -0.010105929, -0.04100633, 0.019089859, -0.9989264, 0.07655434, 0.071397185, 0.19634342, 0
50, 3148011415, -0.010242283, -0.04155715, 0.019197317, -0.99890023, 0.023547238, 0.09060671, 0.24130917, 0
51, 3148028082, -0.010506555, -0.042002507, 0.019235756, -0.9988782, 0.00612023, 0.12913033, 0.24473381, 0
52, 3148044749, -0.009303898, -0.042391554, 0.019045942, -0.99887717, -0.0032639797, 0.120745696, 0.18739033, 0
53, 3148061416, -0.009544004, -0.0426679, 0.018927991, -0.99886537, 0.035715774, 0.062404566, 0.19525433, 0
54, 3148078083, -0.009144222, -0.042853225, 0.0187632, -0.9988643, 0.024616033, -0.016913287, 0.14274597, 0
55, 3148094750, -0.009038763, -0.042999413, 0.018613476, -0.9988618, 0.028477363, -0.064567275, 0.12607956, 0
56, 3148111417, -0.008838555, -0.043066062, 0.01845956, -0.99886346, 0.04104, -0.030349026, 0.14468193, 0
57, 3148128084, -0.008591726, -0.04321381, 0.01825524, -0.9988631, 0.027548416, 0.017190475, 0.1683073, 0
58, 3148144751, -0.008744985, -0.04342845, 0.01811196, -0.99885505, 0.024483314, 0.038768362, 0.20697689, 0
59, 3148161418, -0.00893523, -0.043598413, 0.018096073, -0.9988462, 0.03130996, 0.06658175, 0.24451351, 0
60, 3148178085, -0.009159572, -0.043728612, 0.018136356, -0.99883777, 0.04583922, 0.044777777, 0.18909454, 0
61, 3148194752, -0.009258848, -0.043957647, 0.018160004, -0.9988263, -0.015789129, -0.004277572, 0.11957741, 0
62, 3148211419, -0.009518277, -0.044249516, 0.018179301, -0.9988107, -0.054998808, -0.05622897, 0.07366657, 0
63, 3148228086, -0.010219042, -0.044353906, 0.01808574, -0.9988009, -0.15025689, -0.0634313, 0.17006207, 0
64, 3148244753, -0.010331133, -0.044295643, 0.017777324, -0.9988077, 0.001264061, -0.09734595, 0.12424755, 0
65, 3148261420, -0.010446158, -0.044227865, 0.017550904, -0.9988136, -0.03185782, -0.099951744, 0.099980354, 0
66, 3148278087, -0.010589355, -0.04403761, 0.017364748, -0.99882376, -0.03828532, -0.050162382, 0.09379196, 0
67, 3148294754, -0.010679339, -0.043942966, 0.017077668, -0.9988319, 0.022950359, -0.007855778, 0.09666729, 0
68, 3148311421, -0.009509586, -0.043869883, 0.016535342, -0.9988561, 0.05760633, -0.03111952, 0.2196083, 0
69, 3148328088, -0.009780385, -0.043844942, 0.016141772, -0.99886113, 0.07216113, -0.08626285, 0.21488285, 0
70, 3148344755, -0.0098328665, -0.04384052, 0.015941858, -0.998864, 0.06408449, -0.004192555, 0.22926521, 0
71, 3148361422, -0.0090747755, -0.043896846, 0.015711464, -0.9988724, 0.031286053, 0.086948134, 0.2017765, 0
72, 3148378089, -0.008986358, -0.043869324, 0.015268068, -0.9988812, 0.034555867, 0.08204006, 0.2203989, 0
