DeviceTag:,Xsens DOT 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:46:12.323 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3680470813, 0.1691294, -0.090401, 0.0038062823, -0.98143303, 0.10205652, -0.024138352, 0.16374016, 0
2, 3680487480, 0.16917636, -0.08931004, 0.0032354947, -0.9815266, 0.028175207, -0.0034614473, 0.20615292, 0
3, 3680504147, 0.16926527, -0.08848439, 0.0027703336, -0.9815876, 0.088788345, 0.028451957, 0.17137527, 0
4, 3680520814, 0.16933522, -0.08767369, 0.0024953247, -0.98164904, 0.104439095, -0.039146673, 0.11581802, 0
5, 3680537481, 0.16929707, -0.086995564, 0.0021624698, -0.98171663, 0.031547774, -0.023354003, 0.12702847, 0
6, 3680554148, 0.16934532, -0.08661051, 0.001993239, -0.98174274, 0.012492432, 0.008287176, 0.14495754, 0
7, 3680570815, 0.16947663, -0.08633886, 0.0019684846, -0.98174417, -0.027656514, -0.0010773184, 0.16063786, 0
8, 3680587482, 0.16954568, -0.08617038, 0.0020121431, -0.98174685, -0.020791221, 0.01695948, 0.13964939, 0
9, 3680604149, 0.16958027, -0.086051695, 0.0019680548, -0.9817513, -0.0014265047, 0.030492714, 0.14365292, 0
10, 3680620816, 0.16963008, -0.085911185, 0.0017472687, -0.9817555, -0.026338713, 0.040012382, 0.16774845, 0
11, 3680637483, 0.16965917, -0.08576407, 0.001575251, -0.98176366, -6.90623E-4, -0.03949421, 0.21076679, 0
12, 3680654150, 0.16968356, -0.08573107, 0.0017197247, -0.98176205, 0.002055275, -0.036871087, 0.17495346, 0
13, 3680670817, 0.16968645, -0.085702226, 0.0019242959, -0.98176366, -0.061495148, 0.051545616, 0.18277454, 0
14, 3680687484, 0.16974369, -0.08562038, 0.0019434282, -0.981761, -0.07809199, 0.0453536, 0.13887024, 0
15, 3680704151, 0.16964643, -0.08555917, 0.0019647547, -0.9817831, -0.077400535, -0.014065335, 0.07724953, 0
16, 3680720818, 0.16978271, -0.0855681, 0.0020236843, -0.98175865, -0.07643297, -0.027445588, 0.08138847, 0
17, 3680737485, 0.16997264, -0.08549923, 0.0019799704, -0.9817319, -0.08475951, 0.029741682, 0.11941242, 0
18, 3680754152, 0.1714078, -0.0854154, 0.0016921777, -0.9814901, -0.008462104, -0.04032734, 0.10545349, 0
19, 3680770819, 0.17155218, -0.08543059, 0.001617362, -0.9814637, 0.021891974, -0.076259814, 0.13503647, 0
20, 3680787486, 0.17234522, -0.08545675, 0.0015391536, -0.98132265, -0.009496701, -0.07811253, 0.17323971, 0
21, 3680804153, 0.1720838, -0.08543013, 0.0014887175, -0.9813708, 0.009512798, -0.036826637, 0.20911312, 0
22, 3680820820, 0.17233306, -0.085365646, 0.0013672686, -0.9813329, 0.0016018491, -0.0551477, 0.17860603, 0
23, 3680837487, 0.17138475, -0.08524018, 0.0014177568, -0.9815098, 0.005432377, -0.079171225, 0.1715126, 0
24, 3680854154, 0.17112733, -0.08517663, 0.0015438254, -0.98156, 0.004595576, -0.069622025, 0.133502, 0
25, 3680870821, 0.17059128, -0.085015476, 0.0016585127, -0.98166716, -0.044241127, 7.397161E-4, 0.14982033, 0
26, 3680887488, 0.16987076, -0.08485032, 0.001752394, -0.98180616, 0.008448125, -0.008417973, 0.14170933, 0
27, 3680904155, 0.16934401, -0.08463485, 0.001741294, -0.98191583, -0.0033247452, -0.054827087, 0.16961002, 0
28, 3680920822, 0.169287, -0.084356405, 0.0016800781, -0.9819497, 0.063826084, -0.1020877, 0.14191532, 0
29, 3680937489, 0.1690322, -0.08407369, 0.0016910168, -0.98201793, 0.038577393, -0.14507367, 0.13457108, 0
30, 3680954156, 0.16884756, -0.08379503, 0.0017062539, -0.98207337, 0.040178243, -0.11925725, 0.11102867, 0
31, 3680970823, 0.16827548, -0.08358361, 0.0016927761, -0.9821897, 0.01733505, -0.096169464, 0.09443188, 0
32, 3680987490, 0.16812724, -0.08330383, 0.0014713621, -0.9822391, 0.0138465855, -0.10494362, 0.12466526, 0
33, 3681004157, 0.16750038, -0.08288293, 0.00115949, -0.9823822, 0.032794748, -0.16680595, 0.11378002, 0
34, 3681020824, 0.16672617, -0.082368754, 8.356256E-4, -0.98255754, 0.1438006, -0.22500233, 0.08052921, 0
