Andrii_trial_3
Date:,2020/08/03
Time:,15:36:23
Type:,muscu_imu
Description:,""
Notes:,"Trial2_LateralMovement"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1001,537.636414,687.257629,573.905334,316.311401,649.238464,640.883362,125.663818,605.754089,703.820557
1002,538.576721,687.446899,576.048950,317.994507,648.954834,645.562866,127.831573,605.151917,710.682800
1003,539.236267,687.656616,577.686523,319.495331,648.672913,649.805786,129.838974,604.624878,716.641479
1004,539.962708,687.845825,579.479675,320.922913,648.196228,653.564270,131.786926,603.677612,722.194153
1005,540.423218,687.937927,581.138367,321.901611,647.686584,657.204041,133.400604,602.760132,726.880981
1006,540.718506,688.098816,582.787964,323.267242,647.104065,660.178467,134.933334,601.730164,730.854187
1007,541.351501,688.165833,583.944153,324.406250,646.539917,662.636902,136.275101,600.620789,734.761475
1008,541.597107,688.315430,585.083862,324.837341,646.010681,665.014954,137.382065,599.453125,737.824402
1009,541.863281,688.348267,586.079468,325.862030,645.289978,666.998962,138.528275,598.388672,740.303589
1010,542.102539,688.458252,586.665833,326.378235,644.622925,668.465881,139.179886,597.333008,742.452515
1011,542.143311,688.755188,587.215698,326.812134,644.134155,669.804749,139.919083,596.241028,744.161133
1012,542.201660,688.921326,587.531067,327.292084,643.596558,670.988708,140.270523,595.193359,745.442017
1013,542.218140,689.131226,587.740173,327.643372,642.981873,671.728821,140.511688,594.155945,746.115967
1014,542.034973,689.371033,587.842407,327.735657,642.589050,672.143372,140.719315,593.017090,747.022888
1015,541.905396,689.518616,587.850159,327.591370,642.072754,672.376038,140.882721,591.978333,747.303894
1016,541.775818,689.599548,587.807373,327.496399,641.518555,672.312195,140.944656,591.001892,747.200562
1017,541.650940,689.641846,587.719849,327.330627,641.067688,672.066040,140.788452,590.118958,746.736694
1018,541.247681,689.749451,587.533813,326.959076,640.665344,671.713867,140.550797,589.240479,746.156921
1019,540.739868,689.766846,587.388184,326.523590,640.237061,671.028259,140.241913,588.491577,745.123596
1020,540.334045,689.806580,587.198242,325.997772,639.856934,670.180908,139.404724,587.487000,743.954712
1021,539.793884,689.836548,586.670227,325.235504,639.529663,669.026550,138.848923,586.843628,742.096863
1022,539.335266,689.742859,586.083679,324.684998,639.273132,667.679138,137.916656,586.215210,740.170776
1023,538.627258,689.766113,585.280457,323.526276,638.910217,666.148743,136.891159,585.677429,737.795898
1024,537.849060,689.719055,584.715881,322.611298,638.632263,664.171631,135.831360,585.180969,734.959839
1025,537.317383,689.834351,583.945923,321.574463,638.538940,662.156921,134.499802,584.684570,731.724609
1026,536.781067,689.820618,582.925049,320.338989,638.309509,659.774231,132.844421,584.165283,728.387329
1027,535.932678,689.699402,581.964783,318.976807,638.112000,657.141174,131.287720,583.889038,724.290649
1028,535.318115,689.732056,580.768860,317.625732,637.924377,654.306763,129.346420,583.319153,720.093323
1029,534.423218,689.543396,579.436523,316.133118,637.853394,651.074097,127.632332,582.884949,715.261902
