Andrii_trial_4
Date:,2020/08/03
Time:,15:38:05
Type:,muscu_imu
Description:,""
Notes:,"Trial3_Improvisation"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1001,306.607483,561.088013,378.386719,229.712021,361.612244,289.944336,198.209137,175.781281,245.021393
1002,305.965729,565.996643,375.745270,225.567490,370.413757,281.204041,189.664703,187.115540,230.007553
1003,305.185425,570.942200,373.198700,221.770294,379.500336,272.427887,181.648071,199.319473,215.114212
1004,304.836121,576.194214,370.711304,218.394531,388.866089,263.617584,174.193008,212.040009,200.406265
1005,304.449158,581.143188,368.518555,215.253036,398.454590,255.056030,167.283173,225.185333,185.842148
1006,304.416748,585.936584,366.200836,212.427917,408.252808,246.772003,160.959991,238.777252,171.638000
1007,304.455841,590.754211,363.624298,210.110703,418.127045,238.320404,155.290192,252.655945,157.844543
1008,304.156189,595.434448,361.674377,207.976746,428.014923,230.425232,150.263672,266.704559,143.690872
1009,304.205505,600.187500,359.349518,206.152512,438.293091,222.421051,145.649384,281.342285,129.627380
1010,304.075500,605.062988,356.956177,204.641953,448.834595,214.433884,141.578552,296.387909,115.968300
1011,304.592010,610.005188,354.458252,203.468979,459.524200,206.877670,137.808044,311.838013,102.331436
1012,304.468903,614.730652,352.611145,202.385986,470.538605,199.196304,134.941055,327.850952,88.906998
1013,305.108368,619.565918,350.506500,201.618500,481.819244,191.668823,132.106262,344.515808,75.833824
1014,305.491211,624.314087,348.522675,201.181595,493.310303,184.507874,130.134827,361.507751,62.975975
1015,306.063721,629.351074,346.722534,201.259048,504.634888,177.548553,128.653610,378.931122,50.649185
1016,306.646637,634.265137,344.900238,201.190216,516.333252,171.208267,127.541107,396.558990,38.676403
1017,307.235565,639.347290,343.180481,201.738678,527.843384,164.880066,127.083847,414.304077,27.164986
1018,308.250610,644.397217,341.803772,202.535049,539.028992,158.860962,127.256721,431.967590,16.229826
1019,309.109070,649.419617,340.257904,203.450882,550.270569,153.359650,127.834282,449.810120,5.451049
1020,309.876831,654.282959,339.188477,204.507751,561.495178,148.288605,129.431244,467.076111,-4.837125
1021,310.808685,659.033020,338.044098,205.861557,572.398987,143.779694,130.923340,484.821625,-14.040924
1022,311.675537,663.650208,336.933014,207.430557,583.398254,139.551865,133.101776,502.272003,-23.088373
1023,312.616241,668.607910,336.225830,209.196335,594.539551,135.710114,135.822662,519.355347,-31.091211
1024,313.424774,673.339478,335.507782,211.118454,605.714233,132.020416,138.604080,536.317993,-38.312275
1025,314.374084,677.872986,335.078369,212.936859,616.507996,129.203262,141.543213,553.241211,-44.950462
1026,315.511353,682.664001,334.581848,214.904938,627.354065,126.485252,144.584167,569.943909,-50.658184
1027,316.415771,687.359070,334.701447,217.156677,638.123779,124.314064,147.480606,586.390137,-55.339485
1028,317.464142,692.295349,334.853424,219.159088,648.633240,122.665085,150.058914,602.597412,-59.136581
1029,318.749176,697.172607,334.770752,221.114838,659.208191,121.456871,152.321136,618.392944,-61.899082
1030,320.010254,701.568726,335.537445,222.899582,669.482605,120.855850,154.823746,634.028564,-64.525879
1031,321.264435,706.265381,336.191437,224.829254,679.659607,120.530731,156.805145,648.948792,-65.995750
1032,322.529205,710.777039,336.787170,226.507599,689.379333,120.809586,158.512299,663.328064,-67.066917
1033,323.845947,715.085083,337.965179,228.131470,698.849731,121.242599,160.110657,676.893738,-67.258461
1034,325.350098,719.234619,339.264099,229.427078,707.848389,122.373093,161.496719,689.460144,-67.051178
1035,326.739288,723.188049,340.529144,230.519592,716.244141,123.724724,162.619003,701.119812,-66.368774
1036,327.977692,727.017212,342.065094,231.313919,723.994141,125.199417,163.373230,711.880981,-65.273582
1037,329.191101,730.532532,343.622253,232.065430,730.981201,126.773643,163.929489,721.464417,-63.849686
1038,330.276825,733.473083,345.657867,232.487000,737.316345,128.731720,163.811447,730.504395,-61.816650
1039,331.261597,736.281494,347.315125,232.433914,742.888184,130.975922,163.351700,738.383728,-59.755791
1040,331.978149,738.514343,349.185394,232.205276,747.683044,133.153473,162.250687,745.354980,-57.197208
1041,332.310120,740.442505,350.966705,231.408585,751.921082,135.463364,160.748718,751.533813,-54.615440
1042,332.557800,741.922791,352.946136,230.155914,755.433777,138.225494,158.496429,756.883118,-51.656685
1043,332.657593,743.198792,354.610077,228.726089,758.414307,140.910034,155.585602,761.175720,-48.171394
1044,332.313171,744.214905,356.606201,226.545578,760.817444,143.928543,152.104355,764.842834,-44.731922
1045,331.675720,744.852112,358.576874,223.921127,762.663696,146.932266,147.876541,767.613770,-41.110775
1046,330.922913,745.390808,360.335297,221.148666,763.844055,149.956284,143.174606,769.329834,-36.943020
1047,330.034515,745.600281,362.615082,217.795273,764.347595,153.374588,138.238022,770.072144,-33.011982
1048,328.823334,745.256897,364.784760,214.190506,764.226990,156.671371,132.387360,769.743164,-28.448654
1049,327.406647,744.767273,367.166107,210.145554,763.477539,160.259949,126.260574,768.304626,-23.533304
1050,325.773956,743.989441,369.305176,205.894882,761.957642,163.982773,119.757355,766.106628,-18.674105
1051,323.881134,742.969055,371.548706,201.453339,760.087280,167.840637,112.933189,763.138306,-13.391809
1052,322.086243,741.774841,373.937988,196.558365,757.512573,171.835358,105.688431,759.163086,-7.886642
1053,319.855072,740.098206,376.373138,191.345306,754.489014,175.935898,98.128716,754.459717,-2.128209
1054,317.756866,738.497314,378.840576,186.061218,750.874451,180.182785,90.317719,748.870178,3.794653
1055,315.471313,736.484253,380.996429,180.677322,746.870911,184.363022,82.436424,742.296082,9.588286
1056,313.117065,734.300964,383.611511,174.987900,742.066162,188.960876,74.536255,734.977722,15.843221
1057,310.445709,731.803711,385.887054,169.433716,736.849976,193.206497,66.725708,726.533630,22.075861
1058,307.899017,729.014526,388.110809,163.909866,730.957825,197.518539,58.934818,717.564819,28.111097
1059,305.206818,726.171631,390.242188,158.140884,724.471436,202.207855,51.335495,707.764282,34.386005
1060,302.309906,722.817993,392.478302,152.421097,717.634766,206.634506,43.554672,697.324158,41.008354
1061,299.460663,719.263306,394.017426,147.140289,710.209412,210.651871,36.181061,686.067627,47.425804
1062,296.669769,715.395935,396.043976,141.649750,702.029419,215.153305,28.936886,674.158386,54.142689
1063,293.833435,711.410950,397.662964,136.434692,693.394043,219.338379,22.037182,661.559814,60.657364
1064,291.030731,707.066711,399.100189,131.755630,684.168091,223.222931,15.554373,648.353821,67.193245
1065,288.401428,702.487183,400.458160,127.394188,674.523682,227.064301,9.649308,634.435852,73.341873
1066,285.650696,697.104919,401.841248,122.894081,664.196899,230.994263,4.396335,619.860901,79.457909
1067,283.443176,691.917175,402.718658,119.122787,653.368164,234.833511,-0.274765,604.821045,85.324211
1068,281.141327,686.451294,403.893860,115.837364,642.132996,238.349274,-4.162160,588.996521,91.272110
1069,279.042694,681.008789,404.556213,112.863823,630.347839,241.881378,-7.404587,572.720825,96.631332
1070,277.172211,675.007568,405.700043,110.569885,618.053833,245.218124,-10.061244,555.920288,102.034683
1071,275.776581,668.864746,405.976135,108.856659,605.633240,248.267059,-11.574011,538.754333,107.278473
1072,274.192261,662.594788,406.697388,107.777267,592.744812,251.110260,-12.070935,521.186340,111.894669
1073,272.880554,656.157959,407.225769,107.358749,579.531616,253.843323,-12.065569,503.077515,116.945999
1074,272.005585,649.388855,407.542725,107.458794,566.079285,256.350677,-10.661016,484.815704,121.078056
1075,271.367157,642.518738,407.621979,108.207916,552.210510,258.726746,-8.188867,466.119446,125.203949
1076,270.693848,635.631348,407.646027,109.684166,538.283447,260.796844,-4.771824,446.984955,128.980133
1077,270.450287,628.400818,407.781982,111.996681,524.050354,262.347626,0.256807,427.835632,131.912109
1078,270.333344,621.006775,407.413147,115.089180,509.587646,263.946442,6.455179,408.551483,134.504440
1079,270.251740,613.190979,407.856262,118.695900,495.080292,265.213928,13.646314,389.127655,136.906799
1080,270.624176,605.256348,407.345123,123.217133,480.373505,266.354797,21.994360,369.735565,139.245636
1081,271.023315,597.018555,407.331116,128.406891,465.920166,267.004303,31.501060,350.384399,140.931519
1082,271.911407,588.756531,407.123383,134.516617,451.314056,267.497314,42.071144,331.221893,142.406601
1083,273.008942,580.185608,406.534149,141.200012,436.702972,267.899200,53.684856,312.275543,143.743347
1084,274.347473,571.423706,406.230377,148.549622,422.358917,268.099548,66.507484,293.658844,144.725174
1085,276.043457,562.701294,405.665314,156.794296,408.083771,267.908905,80.160088,275.421661,145.632355
1086,278.088928,553.598083,405.140808,165.681351,393.799408,267.692139,94.933739,257.372681,146.254898
1087,280.723907,544.751282,404.246460,175.106140,380.146179,267.425476,110.916740,239.894180,146.715561
1088,283.383331,536.090332,403.578583,185.250320,366.810699,267.083679,127.697464,222.970520,147.427078
1089,286.494476,527.573181,402.562897,195.961639,353.812805,266.623932,145.528854,206.664429,147.954819
1090,289.741119,518.983459,401.645233,207.112488,341.230103,266.027924,164.219788,190.968109,148.656906
1091,293.466187,510.673645,400.303711,218.859238,328.970154,265.706665,183.644882,176.040024,149.662308
1092,297.487793,502.647400,399.322723,231.089340,317.385651,264.951965,203.947449,161.902557,150.856476
1093,301.769073,494.928223,398.119568,243.687134,306.274750,264.579559,224.795883,148.450119,152.265076
1094,306.341766,487.130157,396.515991,256.663055,295.506775,264.217651,246.039749,136.001190,154.153885
1095,310.989471,479.708435,394.970764,270.028412,285.728546,263.615417,267.613678,124.253914,156.434631
1096,315.964966,472.544922,393.449524,283.539001,276.487091,263.616821,289.325623,113.341690,159.067566
1097,320.907654,465.773468,391.905731,297.016846,267.611603,263.604919,310.939758,103.277092,162.199310
1098,326.027893,459.196381,390.032562,310.591583,259.661194,263.972046,332.328217,93.842865,165.842911
1099,331.410858,452.859039,388.105896,323.863251,252.106812,264.491119,353.214569,85.360901,169.898911
1100,336.785522,447.127686,386.148621,337.001007,245.237534,264.894867,373.505951,77.479279,174.256271
