Marta_trial 1;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:13:33;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
1;461.257690;204.247498;310.641022;407.651306;151.223145;92.072754;399.146851;168.137894;-55.465496
2;461.224945;204.229813;310.687134;407.667114;151.229263;92.105988;399.135864;168.178162;-55.419308
3;461.253357;204.364670;310.428864;407.669403;151.286835;92.128059;399.113403;168.240738;-55.347279
4;461.202271;204.255325;310.672546;407.669067;151.287964;92.127991;399.109497;168.296722;-55.341129
5;461.202942;204.267471;310.673309;407.661285;151.331299;92.129837;399.095520;168.318329;-55.343060
6;461.189941;204.311691;310.701660;407.624237;151.367065;92.119827;399.069427;168.367752;-55.348751
7;461.186737;204.321625;310.669403;407.623138;151.407761;92.100029;399.024139;168.490891;-55.284439
8;461.236481;204.465881;310.389923;407.558960;151.476929;92.127373;399.001373;168.552170;-55.293259
9;461.255646;204.483627;310.354187;407.576782;151.485397;92.077446;398.997498;168.605286;-55.356133
10;461.232086;204.558136;310.314514;407.573792;151.594040;92.082558;398.992828;168.671524;-55.350109
11;461.203400;204.589233;310.623749;407.535461;151.703949;92.124306;398.987885;168.709946;-55.347031
12;460.974487;204.414230;310.725128;407.490997;151.800430;92.134315;398.956909;168.801331;-55.332134
13;460.942230;204.466461;310.749847;407.497833;151.835464;92.032669;399.015564;168.792969;-55.401150
14;461.177399;204.674026;310.533051;407.489258;151.856934;92.041039;399.035217;168.875061;-55.471302
15;460.941772;204.462311;310.685272;407.457489;151.927704;92.102104;399.056061;168.917908;-55.439316
16;460.915100;204.495010;310.693665;407.415894;151.975647;92.140121;399.011078;168.980637;-55.398529
17;461.160278;204.771500;310.568939;407.417877;151.976883;92.032143;399.080536;169.048477;-55.443497
18;460.934570;204.531281;310.661713;407.407227;152.019638;92.036346;399.077301;169.137421;-55.443356
19;461.133789;204.776825;310.523163;407.358551;152.049973;92.104156;399.085602;169.210129;-55.418587
20;460.914001;204.592621;310.662598;407.399261;152.075058;92.087784;399.087708;169.265213;-55.375214
21;461.128845;204.787918;310.487457;407.399353;152.052383;92.024605;399.085663;169.288376;-55.418186
22;460.894684;204.595261;310.665985;407.376587;152.091385;92.022537;399.070831;169.373215;-55.388462
23;460.860504;204.657120;310.635406;407.362579;152.139984;92.066505;399.080841;169.381927;-55.447876
24;461.081085;204.923798;310.441742;407.335876;152.176361;92.120064;399.081757;169.429489;-55.388447
25;460.812012;204.829498;310.587860;407.335510;152.152252;92.092506;399.092621;169.433197;-55.408611
26;460.814362;204.853638;310.571136;407.339966;152.179092;92.065384;399.089813;169.474686;-55.426991
27;460.807373;204.902924;310.562073;407.326294;152.199036;92.084778;399.113861;169.532532;-55.393364
28;461.232605;205.408905;310.133087;407.342438;152.240234;92.078812;399.147552;169.515091;-55.450459
29;461.248230;205.462418;310.109253;407.311188;152.260193;92.090172;399.171417;169.549072;-55.486797
30;461.261963;205.476410;310.081238;407.302612;152.243774;92.046463;399.233246;169.599869;-55.555649
31;461.215607;205.486969;310.062134;407.327545;152.301086;92.082916;399.243134;169.621399;-55.561913
32;461.206268;205.510620;310.059814;407.289948;152.327652;92.107536;399.285187;169.639893;-55.601208
33;461.168793;205.580032;310.085052;407.268158;152.330750;92.087364;399.334595;169.653427;-55.645931
34;461.124054;205.564743;310.046631;407.291748;152.362396;92.073006;399.369598;169.690140;-55.636959
35;461.138275;205.631958;310.088257;407.281586;152.352310;92.043175;399.385651;169.699585;-55.707962
36;460.825439;205.355087;310.376312;407.214569;152.407913;92.154160;399.419128;169.725616;-55.676861
37;461.032959;205.588730;310.098572;407.242920;152.366348;92.083687;399.458710;169.717865;-55.736401
38;461.023743;205.637939;310.081238;407.222290;152.404877;92.079910;399.445007;169.754013;-55.707771
39;460.745911;205.362106;310.392395;407.197205;152.403229;92.090393;399.432556;169.769638;-55.679813
40;460.654633;205.429047;310.158020;407.138397;152.412018;92.077072;399.474365;169.745041;-55.762993
41;460.636810;205.429672;310.392975;407.114807;152.435242;92.164810;399.474152;169.783249;-55.720890
42;460.585663;205.417969;310.484436;407.135986;152.403381;92.106255;399.470795;169.757004;-55.761166
43;460.571564;205.453476;310.176453;407.102936;152.397110;92.117065;399.450226;169.768326;-55.735310
44;460.508087;205.444550;310.510162;407.096619;152.401123;92.105896;399.424469;169.763824;-55.766392
45;460.471375;205.480759;310.232239;407.054016;152.407455;92.155586;399.449554;169.768555;-55.734905
46;460.430450;205.474854;310.530273;407.081116;152.397156;92.103340;399.436707;169.761383;-55.773170
47;460.403839;205.465546;310.294647;407.069122;152.385483;92.106606;399.454254;169.760818;-55.759171
48;460.378815;205.501602;310.400543;407.032166;152.403549;92.144745;399.454010;169.733765;-55.759468
49;460.341370;205.496201;310.433136;407.019867;152.395706;92.145782;399.454285;169.760483;-55.758736
50;460.270721;205.371155;310.578522;407.031158;152.379883;92.117401;399.481232;169.758621;-55.792652
51;460.249207;205.453445;310.363922;407.024353;152.333099;92.077065;399.466217;169.746201;-55.785385
52;460.181000;205.363251;310.643738;407.003937;152.381485;92.175339;399.447052;169.747818;-55.753075
53;460.216888;205.392700;310.398926;407.018341;152.360291;92.128830;399.512085;169.742386;-55.779003
54;460.113831;205.281906;310.626556;406.998047;152.304123;92.122009;399.480530;169.740921;-55.725842
55;460.150879;205.299683;310.461823;407.024414;152.278488;92.140869;399.514557;169.737549;-55.714657
56;460.072479;205.280228;310.542633;407.039886;152.258423;92.116058;399.464386;169.695511;-55.673702
57;460.044250;205.264893;310.519958;407.037933;152.264175;92.134933;399.484833;169.705093;-55.703426
58;459.981018;205.183182;310.691772;407.046844;152.239517;92.147644;399.532776;169.720566;-55.677372
59;459.925476;205.161011;310.751617;407.051849;152.201920;92.106934;399.507629;169.664093;-55.734982
60;459.914551;205.183228;310.584717;407.026245;152.265442;92.182968;399.491791;169.673126;-55.705711
61;459.892059;205.157806;310.755707;407.019989;152.247116;92.206490;399.547302;169.644836;-55.708099
62;459.907104;205.203690;310.594940;407.026123;152.213440;92.132301;399.571472;169.636612;-55.755875
63;459.899963;205.195618;310.593750;407.010101;152.233902;92.156006;399.574463;169.630280;-55.802902
64;459.860077;205.129654;310.786835;407.027130;152.234375;92.164482;399.642181;169.630310;-55.832119
65;459.844238;205.117889;310.571350;406.985748;152.240143;92.214035;399.705261;169.635025;-55.807270
66;459.798523;204.990219;310.780640;406.998291;152.218765;92.167145;399.803558;169.656830;-55.847446
67;459.772614;204.730148;310.821136;406.979248;152.171539;92.190147;399.920746;169.638947;-55.853832
68;459.786804;204.446838;310.688324;406.842712;152.021606;92.385406;399.997833;169.504044;-55.751339
69;459.715027;204.153244;311.055267;406.677734;151.750488;92.567215;399.894501;169.202393;-55.536926
70;459.617249;203.979492;311.235443;406.563873;151.341919;92.614830;399.870544;168.615845;-55.353310
71;459.552979;203.836975;311.396606;406.253174;150.721710;92.887718;399.651428;167.746902;-54.963261
72;459.203278;203.756897;311.750824;405.713043;149.927979;93.424843;399.416779;166.474197;-54.276115
73;459.053406;203.681427;311.880951;405.099304;148.833633;93.793373;398.998169;164.709946;-53.630795
74;458.800323;203.691086;311.928101;404.451263;147.625153;94.406456;398.471649;162.611404;-52.530914
75;458.539185;203.829666;312.046326;403.191498;145.936447;95.378357;397.590637;159.272202;-51.247978
76;457.752350;204.267212;312.444824;402.065399;143.972839;96.333778;396.564423;155.377945;-49.807697
77;457.183319;204.571442;312.834259;400.680176;141.780151;97.694023;394.572479;150.428513;-47.807240
78;456.640106;205.282715;313.239197;399.073517;139.106888;99.317207;392.633911;144.483414;-46.024441
79;456.285400;205.766846;313.290375;397.198395;136.320557;101.218903;389.924347;137.263977;-43.734840
80;455.574005;206.350616;314.208740;394.817688;132.939651;103.902039;386.965759;129.208054;-40.897243
81;454.875549;207.323883;314.812103;392.284851;129.521286;107.097343;383.816345;120.169907;-37.851151
82;454.184326;208.315704;315.644714;389.709473;125.819023;110.553757;380.510010;109.920479;-34.006618
83;453.688293;209.422195;316.098999;387.078979;121.818062;114.164642;376.847961;98.767906;-28.954977
84;452.805359;210.860596;316.975861;384.144196;117.537468;118.899529;372.784637;86.913551;-22.609810
85;451.971802;212.031296;317.888397;381.195190;113.310585;124.237709;368.533875;74.065353;-15.422794
86;451.415802;213.308090;318.518555;378.123871;108.574760;130.279480;363.945343;60.726604;-6.453516
87;450.531860;214.874557;319.510742;375.381561;104.001686;136.806427;359.454102;46.931812;3.688742
88;449.634033;216.075928;320.558868;372.397339;98.820427;144.408081;355.140808;33.012207;15.120030
89;448.757690;216.994766;321.637482;369.667328;93.641556;152.831741;350.942780;19.297155;28.107189
90;447.505463;218.168655;323.054382;366.971375;88.708534;161.807037;347.199677;5.466502;42.773842
91;446.683197;218.836624;324.203430;364.503815;83.865685;171.849228;343.738220;-7.628967;59.074787
92;445.515747;219.776321;325.415985;362.579254;79.021759;182.067352;340.187469;-20.049841;76.823799
93;443.938293;220.132278;327.081482;360.274902;75.032974;193.399704;337.419830;-31.974487;95.235374
94;442.951141;220.442734;328.127411;358.642609;71.241180;204.693405;335.564545;-42.910603;114.440224
95;441.339172;220.242844;330.257629;357.643280;68.125305;216.025146;334.155029;-53.225323;134.782974
96;440.053162;220.081421;331.714935;356.742798;65.164612;227.721313;333.412109;-62.220497;155.755157
97;438.652740;219.800613;333.501984;356.174957;62.932308;239.449219;333.515320;-69.725258;177.254929
98;437.509064;219.260651;335.068359;355.726715;61.091190;251.363281;334.371368;-75.993484;198.967682
99;436.167084;218.798737;337.171844;356.032471;59.848461;262.937256;335.775482;-80.927956;220.966293
100;435.024323;217.693466;338.746887;356.396729;59.072754;274.364014;338.162048;-84.358421;242.296982
101;434.129974;217.054184;340.298279;357.289612;59.061096;285.625305;340.993225;-86.476967;263.727173
102;433.349701;216.102341;341.808563;358.654633;59.527214;296.692291;344.831024;-87.335556;284.607788
103;432.643799;215.178589;343.268066;360.270142;60.657948;306.995972;349.173645;-86.555893;304.815826
104;432.095520;214.182205;344.980499;362.299774;62.474876;316.976807;354.038605;-84.687370;324.554443
105;431.427185;213.272797;346.450378;364.832550;64.711632;326.186554;359.698151;-81.541420;343.348145
106;431.151276;212.173218;347.624512;367.569977;67.565964;335.055756;365.942322;-77.429039;361.345734
107;430.818237;211.084473;348.900024;370.854492;70.795113;342.880859;372.665802;-71.878136;378.117310
108;430.700500;210.306656;350.027924;373.988525;74.412392;350.171539;380.005981;-65.427498;393.704407
109;430.752563;209.720688;350.901550;377.907257;78.541908;356.906616;387.465485;-58.187050;408.312195
110;430.735504;209.172455;351.733398;381.697540;82.820869;362.669220;395.557434;-50.046520;421.650085
111;431.094574;208.861374;352.451538;385.658173;87.552467;368.034424;403.422485;-41.380886;433.813446
112;431.790253;208.621109;352.730072;389.742493;92.174644;372.592743;411.077393;-32.630169;445.153900
113;432.352081;208.658218;352.846680;394.032684;96.966019;376.251617;418.857422;-23.114717;455.282715
114;433.021667;208.663742;353.034729;398.395111;101.892166;379.641357;426.375061;-13.520400;463.821991
115;434.080292;208.691895;353.101349;402.711334;106.995438;382.136017;433.705414;-3.885143;471.345642
116;435.083160;208.950562;353.000275;407.093628;112.154518;384.170074;440.877533;5.389773;477.557007
117;435.932892;209.483902;352.938507;410.995667;116.802460;385.698914;447.830383;14.625162;482.652893
118;436.950195;209.844147;352.615570;414.641052;120.815758;386.707458;454.475647;22.564266;486.757874
119;438.111267;210.471436;352.181030;418.182129;125.179771;386.968811;459.760803;30.371321;490.520966
120;438.749390;210.856033;351.811493;420.804016;128.059906;387.453278;464.129791;37.328583;493.422791
121;439.219177;210.980423;351.557983;423.122345;130.552887;387.240387;466.989227;42.944332;496.055603
122;439.857605;210.641159;350.631714;424.859650;132.486588;386.726288;468.796661;47.546856;497.639008
123;440.455536;210.455811;349.744965;425.691193;133.771210;386.204681;469.184235;50.581352;499.109283
124;440.884918;210.156845;349.153290;426.201294;134.598907;385.330719;468.530579;52.251530;499.437561
125;441.447632;209.920197;348.087067;426.093231;134.960297;384.701324;467.012085;52.224533;498.809113
126;441.709839;209.739975;347.159424;426.030945;134.990738;383.603699;465.256592;50.688637;497.695526
127;442.168884;210.099915;346.357300;424.926392;134.093552;382.953674;462.564392;47.994186;495.635498
128;442.717285;210.212372;345.573578;424.094940;132.758865;381.901611;459.989716;44.345627;493.446442
129;443.280060;210.594971;344.692719;422.317566;130.733215;381.409363;457.160675;39.916126;490.645966
130;443.609192;211.047714;344.288208;420.857422;128.553741;380.461151;454.012817;35.137287;487.802673
131;443.722443;211.323013;344.032013;418.820648;125.743088;379.434174;450.901306;30.102457;484.641785
132;443.771088;211.498520;343.822052;417.156830;123.090492;378.434387;447.268188;25.356321;481.917206
133;443.642700;211.579315;343.770081;415.249878;120.340172;377.420990;443.772736;19.844965;478.520935
134;443.458893;211.625122;343.785614;413.522247;117.680397;376.336517;440.163635;14.522795;475.185638
135;443.072113;211.758347;343.906006;411.662994;114.611946;375.460663;436.744202;8.696622;471.325195
136;442.647552;211.801956;343.939697;409.629059;111.650963;374.433258;433.690643;2.980680;467.078918
137;442.132355;211.628403;343.848969;407.754456;108.621719;373.146667;430.394073;-3.084880;462.562195
138;441.706665;211.567688;343.894470;405.779602;105.269203;371.761414;426.751190;-9.186228;457.981293
