Marta_trial;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:12:00;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
1;509.551910;196.940353;330.645813;476.494385;123.416245;105.132477;482.272888;106.705772;-51.333729
2;509.491364;196.954239;330.635742;476.434174;123.479416;105.094406;482.214691;106.739960;-51.385731
3;509.436981;196.983078;330.512695;476.417328;123.493065;105.059372;482.151764;106.776733;-51.425758
4;509.408051;197.109528;330.326538;476.361694;123.526215;105.013451;482.102142;106.786324;-51.468914
5;509.321320;197.122147;330.431946;476.315033;123.576767;104.995155;481.995514;106.846550;-51.471195
6;509.329437;197.212540;330.259644;476.296387;123.682640;104.983498;481.930634;106.883881;-51.522797
7;509.285675;197.169235;330.376648;476.271881;123.713989;104.886574;481.890625;106.881905;-51.579868
8;509.229492;197.214096;330.360504;476.229279;123.748634;104.861855;481.833832;106.948318;-51.622101
9;509.199463;197.293106;330.216583;476.164154;123.842484;104.840126;481.742920;106.991257;-51.628128
10;509.162292;197.280930;330.333557;476.130859;123.893684;104.812317;481.663361;107.061050;-51.660229
11;509.212402;197.307205;330.106689;476.017578;123.976936;104.771423;481.586731;107.055779;-51.673981
12;509.144379;197.267334;330.250244;475.952332;124.061981;104.751312;481.496399;107.069336;-51.714832
13;509.144440;197.345856;330.114685;475.879761;124.152077;104.632973;481.410034;107.078438;-51.715504
14;509.158752;197.333450;330.082703;475.769928;124.211449;104.676796;481.343292;107.094116;-51.709759
15;509.091309;197.270538;330.197845;475.767181;124.216995;104.633453;481.292786;107.080780;-51.732296
16;509.102173;197.296310;330.193176;475.657166;124.211487;104.636230;481.256958;107.121033;-51.827961
17;509.158600;197.375656;330.020386;475.612335;124.217255;104.629951;481.045898;107.096199;-51.790985
18;509.141541;197.402237;330.083435;475.565613;124.258888;104.625565;480.974426;107.113930;-51.742172
19;509.137390;197.426590;329.980927;475.517426;124.264771;104.603851;480.943817;107.105087;-51.775841
20;509.064301;197.346588;330.149139;475.488464;124.290657;104.584373;480.893799;107.088814;-51.806107
21;509.133026;197.429932;329.978455;475.432770;124.308266;104.605057;480.830017;107.143608;-51.817814
22;509.070526;197.336243;330.094543;475.423309;124.332481;104.567917;480.763275;107.159782;-51.844482
23;509.059723;197.352707;330.152496;475.410980;124.326332;104.532036;480.655762;107.196777;-51.797810
24;509.090790;197.344147;330.026123;475.333557;124.343498;104.536484;480.651886;107.225708;-51.866131
25;509.169708;197.462616;329.839722;475.318939;124.400055;104.501831;480.555176;107.270218;-51.835522
26;509.149750;197.529068;329.885162;475.250549;124.432289;104.586700;480.441528;107.335800;-51.807419
27;509.140045;197.493912;329.949066;475.191071;124.450066;104.527908;480.438751;107.409973;-51.896099
28;509.199432;197.535980;329.850555;475.114319;124.490753;104.545189;480.382080;107.465775;-51.902687
29;509.308716;197.747589;329.644836;475.011230;124.539154;104.567711;480.297729;107.492126;-51.913197
30;509.296143;197.778671;329.675751;474.825989;124.704453;104.671921;480.199188;107.564873;-51.849640
31;509.302887;197.877792;329.746857;474.694397;124.792397;104.589516;479.982391;107.644791;-51.791298
32;509.401794;197.965103;329.491180;474.608887;124.980209;104.549538;479.777222;107.727760;-51.725342
33;509.196075;197.774063;329.819702;474.422821;125.101006;104.610458;479.539459;107.839546;-51.685192
34;509.068512;197.631912;329.866150;474.122650;125.247871;104.866753;479.291901;107.947334;-51.695995
35;509.075562;197.436371;330.018219;473.780365;125.316025;105.075951;478.972961;107.989075;-51.740887
36;509.042572;197.177963;329.953888;473.362549;125.284599;105.269600;478.452271;108.046494;-51.799183
37;509.034485;196.925018;330.004822;472.805237;125.321716;105.414833;477.869141;107.913170;-51.485310
38;508.874908;196.729721;329.928650;472.169159;125.394043;105.344864;477.256927;107.848869;-51.427605
39;508.280457;196.187592;330.480347;471.289734;125.359116;105.528740;476.438538;107.826225;-51.471050
