Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1,476.816498,171.325607,318.994507,498.361938,76.611160,94.791985,508.155823,47.063419,-38.332283
2,476.716492,171.505295,319.121704,498.121582,76.875336,94.844116,507.993561,47.385029,-38.460155
3,476.567902,171.661133,319.203400,497.882355,77.218140,94.825752,507.741150,47.847805,-38.277122
4,476.398224,171.848801,319.286591,497.852661,77.419281,94.806717,507.489990,48.390747,-38.390049
5,476.308685,172.087875,319.258026,497.789642,77.600906,94.821655,507.268524,48.692215,-38.441616
6,476.236115,172.520203,319.133240,497.659576,77.881577,94.819397,507.079163,48.985844,-38.392555
7,476.106812,172.825516,319.409302,497.379730,78.519585,94.775475,506.992798,49.360653,-38.476936
8,476.043457,173.115341,319.148743,497.105011,78.780548,94.755821,506.745758,49.721722,-38.364368
9,475.837372,173.172745,319.362427,496.859894,78.989616,94.832153,506.449615,50.081558,-38.339420
10,475.661896,173.414703,319.188446,496.609558,79.201782,94.952515,506.154419,50.505890,-38.263561
11,475.526581,173.622208,319.264435,496.346741,79.521965,94.935921,505.919495,50.797451,-38.368420
12,475.346527,173.751068,319.295227,496.088013,79.922745,94.940834,505.632080,51.046921,-38.418041
13,475.176361,173.875687,319.252380,495.966644,80.357124,94.928024,505.293976,51.463261,-38.455254
14,475.035614,174.136536,319.305511,495.898254,80.710670,94.813583,505.151093,51.855091,-38.465996
15,474.871399,174.625259,319.140778,495.644958,81.019096,94.608337,505.012695,52.302204,-38.559063
16,474.684631,174.900848,319.238678,495.112518,81.275009,94.627907,504.758972,52.665657,-38.675705
17,474.374878,175.075806,319.255127,494.652954,81.518578,94.598801,504.360748,52.912407,-38.631626
18,474.107391,175.195206,319.371582,494.400391,82.008072,94.387512,503.893951,53.145256,-38.621506
19,473.797882,175.566437,319.306732,494.269623,82.527527,94.342361,503.565002,53.466240,-38.553879
20,473.472687,175.917007,319.485443,493.951904,82.886948,94.465179,503.347900,53.924049,-38.630417
21,473.200378,176.386627,319.651611,493.494232,83.306244,94.508011,503.119751,54.328876,-38.536674
22,472.962585,176.614044,319.894287,493.089996,83.581337,94.634117,502.757874,54.731400,-38.380825
23,472.694061,176.802765,319.858490,492.332733,84.134529,94.725594,502.187378,55.147625,-38.285957
24,472.332672,176.917709,320.220642,491.935791,84.746231,94.675041,501.323029,55.688072,-38.122421
25,472.161652,177.174179,320.285370,491.135071,85.212265,94.916008,500.782257,56.206509,-38.030872
