DeviceTag:;Xsens DOT 1;;;;;;;;
FirmwareVersion:;1.3.0;;;;;;;;
AppVersion:;2020.1.1;;;;;;;;
Measurement Mode:;Sensor fusion Mode - Extended (Quaternion);;;;;;;;
StartTime:;2020-08-03 15:35:33.439 +0200;;;;;;;;
© Xsens Technologies B. V. 2005-2020;;;;;;;;;
PacketCounter;SampleTimeFine;Quat_W;Quat_X;Quat_Y;Quat_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Status
1;70199623; 0.07455969; -0.5273082; -0.044915255; -0.8452038; 0.032861248; 4.8697885E-4; 0.07500076;0
2;70216290; 0.07459809; -0.52705514; -0.044834994; -0.84536254; 0.042074796; -0.008305574; 0.019703865;0
3;70232957; 0.0746426; -0.52681726; -0.044890128; -0.845504; -0.00882053; 0.005649765; 0.036153793;0
4;70249624; 0.0747784; -0.52679646; -0.044961482; -0.84550107; -0.06839031; 6.7067856E-4; 0.061320305;0
5;70266291; 0.074882045; -0.5270503; -0.04496655; -0.84533346; -0.051343244; -0.007907692; 0.035128593;0
6;70282958; 0.074927375; -0.5273508; -0.044957064; -0.84514254; -0.0043556527; -0.03594499; 0.06847;0
7;70299625; 0.07488668; -0.5275837; -0.04497915; -0.8449997; 0.025542313; -0.06286707; 0.061670303;0
8;70316292; 0.07484478; -0.5278085; -0.04508738; -0.8448572; 0.0032987543; -0.038133573; 0.071707726;0
9;70332959; 0.07483548; -0.52799314; -0.0452491; -0.8447339; -0.03348271; -0.008430908; 0.10231304;0
10;70349626; 0.07479818; -0.5281438; -0.045334693; -0.8446384; 0.0048079244; -0.020612337; 0.109827995;0
11;70366293; 0.07475462; -0.5282607; -0.04538094; -0.84456664; 0.04881021; -0.038818136; 0.10000324;0
12;70382960; 0.07470728; -0.5283588; -0.04543493; -0.8445066; 0.023289265; -0.01707396; 0.10088444;0
13;70399627; 0.07467862; -0.52840996; -0.04547481; -0.84447503; -0.00474225; -0.014526191; 0.11594391;0
