DeviceTag:,Xsens DOT 3,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:35:33.438 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3041595585, 0.8492388, -0.2502111, 0.16672768, -0.4340409, -0.056441605, 0.059909742, 0.15633106, 0
2, 3041612252, 0.84931016, -0.2500194, 0.16735488, -0.4337705, -0.0073704515, 0.0071924236, 0.17910767, 0
3, 3041628919, 0.8493658, -0.24986441, 0.16764951, -0.4336369, -0.0339239, 0.0042787087, 0.1811018, 0
4, 3041645586, 0.8493904, -0.24985667, 0.16786762, -0.433509, 0.027541267, -0.042894818, 0.16889858, 0
5, 3041662253, 0.8493668, -0.25001615, 0.1678876, -0.43345568, 0.026111342, -0.044161912, 0.19285202, 0
6, 3041678920, 0.8493181, -0.2502755, 0.16782418, -0.4334257, 0.00523255, -0.058305144, 0.20306587, 0
7, 3041695587, 0.8492451, -0.2505207, 0.16781873, -0.43342918, 0.018600302, -0.0666491, 0.23008537, 0
8, 3041712254, 0.84919894, -0.25068876, 0.16776559, -0.43344277, 0.021193834, -0.041313913, 0.20918846, 0
9, 3041728921, 0.8491415, -0.25090864, 0.16769299, -0.43345672, 0.0365732, 0.027257629, 0.16241646, 0
10, 3041745588, 0.8490914, -0.25113007, 0.16759624, -0.4334635, 0.035203848, 0.017314207, 0.19064617, 0
11, 3041762255, 0.84906304, -0.25129977, 0.16754173, -0.43344182, 0.05408164, -0.00786855, 0.19992828, 0
12, 3041778922, 0.8490554, -0.25134948, 0.16743909, -0.43346757, 0.0149371475, 0.003306427, 0.21707726, 0
13, 3041795589, 0.84908867, -0.25131667, 0.16729207, -0.4334786, 0.039416622, 0.025577258, 0.20631027, 0
14, 3041812256, 0.84912676, -0.25129828, 0.16714385, -0.43347147, 0.06104027, 0.06253691, 0.2232647, 0
15, 3041828923, 0.84915745, -0.25130844, 0.16698727, -0.43346596, 0.06531697, 0.05772647, 0.23283482, 0
16, 3041845590, 0.84913963, -0.25122526, 0.16696738, -0.4335567, 0.0799536, 0.032207098, 0.24416447, 0
17, 3041862257, 0.84909827, -0.25100893, 0.16694161, -0.43377307, 0.037952725, 0.04535279, 0.22043514, 0
18, 3041878924, 0.8494271, -0.25087827, 0.16668402, -0.43330353, 0.0061111795, 0.02883563, 0.22735977, 0
19, 3041895591, 0.84956217, -0.25068814, 0.16650292, -0.4332185, -0.0074823196, -0.0021897564, 0.20190239, 0
20, 3041912258, 0.84970427, -0.25057504, 0.16632819, -0.43307224, 2.2910078E-4, -0.037955184, 0.15905666, 0
21, 3041928925, 0.84972745, -0.25038025, 0.16614135, -0.43321112, -0.04007129, -0.053279005, 0.1514492, 0
22, 3041945592, 0.8495012, -0.25002098, 0.16592559, -0.43394443, -0.079982884, -0.06898794, 0.12535572, 0
23, 3041962259, 0.84970975, -0.24983658, 0.1651986, -0.43391964, -0.08580271, -0.114919186, 0.16206074, 0
24, 3041978926, 0.8496023, -0.24953695, 0.1642106, -0.43467718, -0.15658401, -0.10370867, 0.19551182, 0
25, 3041995593, 0.849111, -0.2491532, 0.16261129, -0.43645495, -0.24325307, -0.089735314, 0.22258186, 0
26, 3042012260, 0.84909284, -0.24890465, 0.15964237, -0.43772617, -0.339737, -0.03146928, 0.23074818, 0
27, 3042028927, 0.8487433, -0.24810192, 0.15612328, -0.44012216, -0.2962443, -0.17776142, 0.44283104, 0
28, 3042045594, 0.84902066, -0.24643534, 0.1518461, -0.44201592, -0.0455563, -0.23569061, 0.5918484, 0
29, 3042062261, 0.8494482, -0.2433458, 0.14730047, -0.44443807, 0.025233608, -0.19850208, 0.5978203, 0
30, 3042078928, 0.85014117, -0.23940426, 0.14231582, -0.44687104, 0.045421522, -0.019494576, 0.38589764, 0
31, 3042095595, 0.8508705, -0.23502018, 0.13683563, -0.44951433, 0.15550455, 0.08716066, 0.23334122, 0
