DeviceTag:,Xsens DOT 1,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:37:19.059 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 175828531, 0.04576834, 0.55991703, -0.21653938, 0.79844147, 0.07286326, -0.14420472, 0.14019203, 0
2, 175845198, 0.04566256, 0.55898803, -0.21559606, 0.7993535, -0.0683757, -0.18655694, 0.10797691, 0
3, 175861865, 0.046479788, 0.5586349, -0.21437736, 0.79988074, -0.10190075, -0.0718084, 0.0939455, 0
4, 175878532, 0.047173906, 0.5585485, -0.21376596, 0.8000642, -0.047306504, 0.043042533, 0.13558197, 0
5, 175895199, 0.04742358, 0.5584055, -0.21371397, 0.800163, 0.078302056, 0.11406669, 0.174819, 0
6, 175911866, 0.047191173, 0.5580088, -0.21388562, 0.80040765, 0.13611348, 0.058998898, 0.14561558, 0
7, 175928533, 0.046698064, 0.55744046, -0.21400666, 0.8008, 0.10035845, 0.03597254, 0.097164154, 0
8, 175945200, 0.046004117, 0.5569203, -0.21400708, 0.8012021, 0.12263143, 0.037561186, 0.03955555, 0
9, 175961867, 0.045131046, 0.5563946, -0.21395753, 0.80162996, -0.002806743, 0.011373568, 0.064888954, 0
10, 175978534, 0.04433563, 0.55578715, -0.21397889, 0.80208987, -0.028460778, -0.01072119, 0.11883068, 0
11, 175995201, 0.04366919, 0.55514723, -0.21401638, 0.80255944, -0.030574191, -0.07228613, 0.08412933, 0
12, 176011868, 0.043142214, 0.55455035, -0.21407574, 0.80298465, -0.045084115, -0.0921564, 0.07679081, 0
13, 176028535, 0.04273073, 0.5540021, -0.21409075, 0.8033809, -0.04586654, -0.07281859, 0.06447315, 0
14, 176045202, 0.042313542, 0.5536263, -0.21396348, 0.803696, 0.028145177, -0.08784537, -0.011096001, 0
15, 176061869, 0.041857947, 0.5533643, -0.2137636, 0.80395347, 0.011798292, -0.08768451, -0.034374237, 0
16, 176078536, 0.04144011, 0.55309135, -0.21360002, 0.8042064, 0.022471126, -0.06686379, -0.024442673, 0
17, 176095203, 0.040939283, 0.55280894, -0.21337765, 0.80448526, -0.0012142481, -0.099649966, -0.006549835, 0
18, 176111870, 0.04035852, 0.552626, -0.213045, 0.8047283, 0.00913969, -0.14693649, -0.002029419, 0
19, 176128537, 0.039831307, 0.5525114, -0.21272306, 0.80491847, -0.04393972, -0.22401157, 7.7342987E-4, 0
20, 176145204, 0.0395343, 0.5522706, -0.21258809, 0.8051338, -0.10053257, -0.22179957, 0.016371727, 0
21, 176161871, 0.03938542, 0.5520495, -0.21251623, 0.8053117, -0.03927867, -0.121467054, -0.037890434, 0
22, 176178538, 0.039265364, 0.55201507, -0.2124844, 0.8053496, 0.04382334, -0.061737534, -0.055688858, 0
23, 176195205, 0.039060693, 0.5520781, -0.21246286, 0.8053221, 0.06472042, -0.08201683, -0.049067497, 0
24, 176211872, 0.038822986, 0.5519979, -0.21249148, 0.80538094, 0.034534343, -0.12534404, 0.0039110184, 0
25, 176228539, 0.0386224, 0.5518834, -0.2125505, 0.8054534, 0.070880055, -0.12393564, 0.006562233, 0
26, 176245206, 0.03832816, 0.5518493, -0.21254265, 0.80549294, 0.02759623, -0.053899072, 0.030937195, 0
27, 176261873, 0.037949942, 0.55184793, -0.21244393, 0.80553776, -0.034718875, -0.033016622, 0.066495895, 0
28, 176278540, 0.037515465, 0.5518674, -0.2123117, 0.80557996, -0.0170829, -0.015157433, 0.05876541, 0
29, 176295207, 0.037034795, 0.55197835, -0.21216185, 0.80556554, 0.03459129, -0.067926705, 0.015166283, 0
30, 176311874, 0.03659813, 0.55210435, -0.2121104, 0.80551267, -0.06895828, -0.14270088, 0.10402298, 0
31, 176328541, 0.03638391, 0.55212337, -0.21221927, 0.8054807, -0.13071811, -0.11723815, 0.13321877, 0
32, 176345208, 0.03627138, 0.55211186, -0.21234216, 0.8054612, -0.081866674, 0.012364639, 0.08622646, 0
33, 176361875, 0.03611992, 0.55212015, -0.21243046, 0.8054391, -0.018323956, 0.026444154, 0.055321693, 0
34, 176378542, 0.035879903, 0.5522039, -0.21256183, 0.80535764, 0.013865892, 0.005985467, 0.09076309, 0
35, 176395209, 0.035655946, 0.5523252, -0.21266878, 0.8052562, 0.0022861185, -0.021245815, 0.18139458, 0
36, 176411876, 0.035429936, 0.55238265, -0.21265031, 0.80523163, -0.06324199, -0.0072245114, 0.17336369, 0
37, 176428543, 0.035194222, 0.5524743, -0.2126023, 0.80519176, -0.06274828, 0.013527786, 0.11379719, 0
38, 176445210, 0.034911808, 0.55265707, -0.21254069, 0.80509484, -0.051643737, 0.022365056, 0.12330818, 0
39, 176461877, 0.034690402, 0.5527554, -0.21256755, 0.80502987, -0.019871559, 0.01833168, 0.18947029, 0
40, 176478544, 0.03451512, 0.5527897, -0.21254592, 0.8050196, -0.036665723, -0.006320276, 0.22065067, 0
41, 176495211, 0.034389667, 0.55280465, -0.21246088, 0.80503714, -0.047521543, 0.0066320626, 0.15819073, 0
42, 176511878, 0.03422777, 0.5528978, -0.21232243, 0.8050166, -0.01843294, 0.051579975, 0.11199856, 0
43, 176528545, 0.0340062, 0.5530395, -0.212185, 0.804965, 0.01320196, 0.063728824, 0.06764889, 0
