DeviceTag:,Xsens DOT 2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-03 15:46:12.324 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 346922842, 0.07607222, -0.4548552, 0.17681234, -0.86951655, 0.026324183, -0.044162277, 0.10431099, 0
2, 346939509, 0.07574735, -0.45455578, 0.17633796, -0.8697978, 0.023583997, -0.017476758, 0.1393137, 0
3, 346956176, 0.07559041, -0.45433754, 0.17597649, -0.86999875, 0.04365901, 0.007567646, 0.11932945, 0
4, 346972843, 0.07560295, -0.4540977, 0.17582189, -0.8701541, 0.02540222, 0.008416828, 0.08853245, 0
5, 346989510, 0.075654134, -0.45394045, 0.17577581, -0.87024087, 0.03209445, -3.3219614E-5, 0.112771034, 0
6, 347006177, 0.07567648, -0.45378655, 0.17574586, -0.87032527, 0.055812247, 0.012379908, 0.145195, 0
7, 347022844, 0.075730205, -0.4536476, 0.17573239, -0.8703958, 0.0480459, -0.0044531603, 0.10093784, 0
8, 347039511, 0.07570948, -0.45350578, 0.17588735, -0.8704402, 0.018667173, 0.013142031, 0.12427044, 0
9, 347056178, 0.07571461, -0.4533973, 0.17598534, -0.87047637, 0.045016654, 0.044864275, 0.1334238, 0
10, 347072845, 0.07580415, -0.45331997, 0.1760225, -0.87050134, 0.035963893, 0.038855072, 0.15288353, 0
11, 347089512, 0.07588476, -0.45326203, 0.17602663, -0.8705237, 0.039760537, 0.007920014, 0.14644814, 0
12, 347106179, 0.07593902, -0.45320654, 0.17604615, -0.870544, 0.027886258, -0.01321702, 0.13501644, 0
13, 347122846, 0.07597695, -0.45313865, 0.17607357, -0.8705704, -0.001971, -0.038804587, 0.11205673, 0
14, 347139513, 0.07599411, -0.45306253, 0.17619276, -0.8705844, -0.03167116, -0.006383558, 0.13126469, 0
15, 347156180, 0.0759059, -0.4529718, 0.17630889, -0.8706158, -0.008022816, -0.02182671, 0.13059711, 0
16, 347172847, 0.07602118, -0.45292497, 0.17632744, -0.8706264, -0.009927873, -0.00595039, 0.12917519, 0
17, 347189514, 0.07610546, -0.45288956, 0.1763382, -0.8706352, 0.0029244993, 0.013175391, 0.09852886, 0
18, 347206181, 0.07592578, -0.45284665, 0.17647643, -0.87064517, -0.007796677, 0.010612535, 0.10137844, 0
19, 347222848, 0.07612136, -0.45290357, 0.176395, -0.8706151, -0.0050259405, -0.020209007, 0.105597496, 0
20, 347239515, 0.07641045, -0.45295885, 0.17616883, -0.8706068, 0.004905998, -0.024791889, 0.1384821, 0
21, 347256182, 0.07672216, -0.45303655, 0.17594115, -0.8705849, 0.011350477, -0.066609345, 0.112766266, 0
22, 347272849, 0.07702351, -0.45315892, 0.17577045, -0.87052906, -0.024068896, -0.059959725, 0.1090889, 0
23, 347289516, 0.07663384, -0.45311445, 0.17599627, -0.8705411, -0.048157416, -0.072012074, 0.13106155, 0
24, 347306183, 0.07672966, -0.4531485, 0.17602558, -0.8705089, -0.025763206, -0.025407473, 0.15357399, 0
25, 347322850, 0.07663815, -0.45311365, 0.17615862, -0.87050825, -0.019145435, -0.051123, 0.12950325, 0
26, 347339517, 0.076947264, -0.45315564, 0.17616855, -0.87045705, 0.0010358568, -0.047487956, 0.11218071, 0
27, 347356184, 0.07643165, -0.4530122, 0.17657495, -0.87049484, 0.06486923, -0.050960533, 0.13318253, 0
28, 347372851, 0.076835364, -0.4530304, 0.17647254, -0.87047064, 0.04792921, -0.053245395, 0.13298607, 0
29, 347389518, 0.076830424, -0.45293602, 0.17647971, -0.87051874, 0.04139622, -0.036032245, 0.11638546, 0
30, 347406185, 0.07715, -0.45289418, 0.1763073, -0.8705472, 0.02102177, -0.09881597, 0.111198425, 0
31, 347422852, 0.07662901, -0.4526996, 0.17665993, -0.8706228, 0.0043065078, -0.117341064, 0.08128166, 0
32, 347439519, 0.07642319, -0.45258164, 0.1768834, -0.87065685, 0.019431887, -0.081387356, 0.11892891, 0
33, 347456186, 0.07607849, -0.45242813, 0.17714481, -0.8707138, 0.028571857, -0.072841614, 0.15104198, 0
34, 347472853, 0.07608487, -0.4523716, 0.17717247, -0.8707369, 0.01659963, -0.071410604, 0.114136696, 0
35, 347489520, 0.075662285, -0.45221835, 0.17735447, -0.87081623, 0.035231564, -0.05610368, 0.09899998, 0
36, 347506187, 0.074938476, -0.45200685, 0.17762074, -0.8709344, 0.059728656, -0.12685797, 0.056370735, 0
37, 347522854, 0.07421397, -0.45183322, 0.17791916, -0.8710257, 0.04323382, -0.14466825, 0.05825138, 0
38, 347539521, 0.07327172, -0.45164362, 0.17840777, -0.87110376, 0.036172442, -0.08727125, 0.08736992, 0
39, 347556188, 0.07230694, -0.45147166, 0.17886731, -0.87117934, 0.051964123, -0.0070698825, 0.16952229, 0
40, 347572855, 0.071416885, -0.45135197, 0.17924024, -0.8712382, 0.04579807, -0.010644274, 0.17086983, 0
41, 347589522, 0.07006347, -0.4511466, 0.17993161, -0.8713118, 0.097848006, -0.07880198, 0.13942719, 0
42, 347606189, 0.068632096, -0.4509301, 0.18086487, -0.8713446, 0.12275696, -0.06691539, 0.12521553, 0
43, 347622856, 0.0669983, -0.45064083, 0.18192638, -0.87140036, 0.10153081, -0.01740241, 0.15894508, 0
44, 347639523, 0.065463595, -0.45025817, 0.18266541, -0.87156034, 0.13557911, 0.0333818, 0.23058224, 0
45, 347656190, 0.06411085, -0.44973686, 0.18305475, -0.8718484, 0.14915483, -6.249702E-4, 0.15136337, 0
46, 347672857, 0.062404566, -0.44907308, 0.18371344, -0.8721756, 0.20198177, -0.0613975, 0.048239708, 0
47, 347689524, 0.06065217, -0.448422, 0.18448497, -0.8724713, 0.2772355, -0.044755593, 0.043657303, 0
48, 347706191, 0.058698077, -0.44765425, 0.18547691, -0.8727889, 0.3106064, 0.03284868, 0.124653816, 0
49, 347722858, 0.056933075, -0.4468977, 0.18636315, -0.87310475, 0.36727816, 0.15806776, 0.060546875, 0
50, 347739525, 0.05507624, -0.4461446, 0.18725406, -0.8734182, 0.2986466, 0.058825787, -0.032381058, 0
51, 347756192, 0.053230155, -0.4453148, 0.18808019, -0.8737787, 0.2693576, 0.07358936, 0.11288452, 0
52, 347772859, 0.050530605, -0.4442959, 0.18939984, -0.87417245, 0.2436223, 0.0746066, 0.08063221, 0
53, 347789526, 0.049054872, -0.4435317, 0.19019054, -0.8744728, 0.1670783, -0.012635117, 0.049567223, 0
54, 347806193, 0.04719796, -0.4426924, 0.19157809, -0.8746973, 0.10389873, 0.042363416, 0.042366028, 0
55, 347822860, 0.045115776, -0.4417103, 0.19306359, -0.8749771, 0.1141174, 0.04398661, 0.08040333, 0
56, 347839527, 0.043840375, -0.44091433, 0.194063, -0.8752222, 0.12460671, 0.01725921, 0.058259964, 0
57, 347856194, 0.042516112, -0.44021288, 0.19510522, -0.87540895, 0.05717868, -0.017940281, 1.1444092E-5, 0
58, 347872861, 0.04036231, -0.4393117, 0.1965763, -0.8756345, 0.033959456, -0.10169063, 0.07607174, 0
59, 347889528, 0.039573785, -0.43873292, 0.19748347, -0.87575656, -0.016828755, -0.10332296, 0.11336613, 0
60, 347906195, 0.038711395, -0.4380784, 0.19854356, -0.87588304, -0.04502501, -0.14252317, 0.08810139, 0
61, 347922862, 0.03824729, -0.43751547, 0.19954495, -0.87595737, -0.076424375, -0.09799488, 0.015899658, 0
62, 347939529, 0.037746433, -0.43702298, 0.20054504, -0.8759964, -0.030598588, -0.14913112, 0.023560524, 0
63, 347956196, 0.037179805, -0.43661007, 0.20159498, -0.8759855, -0.06291503, -0.20159158, -0.007013321, 0
64, 347972863, 0.036643602, -0.43638408, 0.20267595, -0.87587124, -0.061654218, -0.17276594, -0.033093452, 0
65, 347989530, 0.036281273, -0.43629044, 0.2034862, -0.87574506, -0.08354451, -0.12168207, 0.091303825, 0
66, 348006197, 0.03593529, -0.43622786, 0.20399417, -0.8756723, -0.035176747, -0.08845655, 0.16390896, 0
67, 348022864, 0.035892133, -0.43629357, 0.204086, -0.87561995, -0.017572558, -0.040866844, 0.10374832, 0
