Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1001,401.184906,579.575989,362.279663,416.630493,438.632690,375.984772,514.744934,359.522003,521.646912
1002,400.925476,580.168884,362.144409,415.682556,438.597198,374.826599,514.016968,356.885559,519.150024
1003,400.226807,581.053833,361.966614,415.038879,438.041534,373.347961,513.091736,353.798767,516.326294
1004,399.724915,581.941162,361.524933,414.089661,437.774628,371.796936,512.117065,350.114380,512.636108
1005,398.999329,583.055725,361.535767,412.816223,437.045776,370.212494,510.434113,345.940491,509.000305
1006,398.554932,584.299500,361.174713,411.892090,436.444733,367.838135,508.808136,341.155029,504.378021
1007,397.659058,585.387207,360.979919,410.759033,435.716431,365.497162,506.787628,336.013306,499.194305
1008,397.232788,586.822632,360.475403,409.299896,434.777557,363.305359,504.601257,330.563843,493.417816
1009,396.363220,588.279724,360.190277,408.205536,434.048309,360.474457,502.224579,324.804901,487.034241
1010,395.996613,590.052002,359.666473,406.874329,433.121124,357.576813,499.654755,318.779358,480.379761
1011,395.198669,591.608521,359.337250,405.309753,432.284058,354.508057,496.921173,312.544495,472.918549
1012,394.496155,593.321106,359.087189,403.871765,431.108398,351.242798,494.371887,306.152008,464.369537
1013,394.166138,595.234314,358.305573,402.535065,429.978088,347.659454,491.667023,299.399567,455.606903
1014,393.548126,597.003113,357.830322,400.960327,429.066681,343.969147,488.829224,292.899445,446.077148
1015,393.203491,599.031738,357.527802,399.544342,427.877930,339.859039,485.872467,286.556335,436.322357
1016,392.597717,600.867371,356.989624,398.123077,427.031464,335.807526,482.456543,280.463928,426.109741
1017,392.415070,602.498230,356.583527,396.814117,426.059723,331.379272,479.130707,275.010773,415.373535
1018,392.290771,604.056702,356.119934,395.934814,425.236694,327.050507,475.178497,269.959808,405.137238
1019,392.014435,605.457153,355.695984,394.872681,424.725830,322.572205,471.524017,265.396637,394.311890
1020,391.646393,606.540222,355.471039,393.952789,424.167419,318.004761,468.103455,261.540833,383.356506
1021,391.439056,607.806519,354.842529,393.069824,423.548615,313.267853,464.603668,257.988464,372.769348
1022,391.275146,608.771851,354.168304,392.242035,423.066681,308.440948,461.465210,254.913727,362.053406
1023,391.264526,609.870178,353.533142,391.525269,422.579102,303.745697,459.220825,252.341446,350.554199
1024,391.069977,610.803223,352.842499,390.843842,422.171143,298.838135,456.632721,249.487732,339.465759
1025,391.062897,611.809143,352.335968,390.127625,421.911865,293.858978,454.874390,246.944519,327.300262
1026,390.866333,612.799866,351.727814,389.518005,421.466431,288.759430,453.083221,244.878693,314.989288
1027,390.929626,613.683289,351.140472,388.985840,421.226318,283.165527,451.373444,242.742752,302.028290
1028,390.927795,614.652893,350.221680,388.062805,420.969513,277.511536,449.650604,241.299286,288.477936
1029,390.905640,615.490234,349.565674,387.149078,420.882172,271.376495,447.937653,240.733704,275.415802
1030,390.949615,616.431274,348.785065,386.380859,420.832916,265.215088,445.805481,240.493835,262.278351
1031,391.065033,617.393494,348.226471,385.624268,421.159698,259.234772,444.001495,240.736542,249.376190
1032,391.161743,618.015015,347.722107,385.056335,421.664886,253.308243,442.204926,241.694061,236.577377
1033,391.258514,618.539734,347.281128,384.948669,422.468475,247.785278,440.382782,242.661407,224.453522
1034,391.279816,618.552917,346.687134,384.952087,423.327972,242.386963,438.847321,244.110992,212.119232
1035,391.377472,618.560059,345.801025,384.929047,424.491608,237.109848,437.256958,246.041016,200.328949
1036,391.318451,618.284424,344.996277,384.832184,425.660980,231.703751,435.875946,248.278061,188.556854
1037,391.276245,618.097351,344.347443,384.942932,427.094482,226.313766,434.390900,250.598328,177.229034
1038,391.262543,618.002747,343.568909,384.516266,428.505951,221.079010,433.081238,253.418457,166.025513
1039,391.378906,618.162903,342.868134,384.391052,429.974091,215.838226,431.661346,256.302551,155.114975
1040,391.474548,618.206482,342.507782,384.509766,431.362885,210.692047,430.444946,259.568146,144.223862
1041,391.670746,618.147034,341.964386,384.748322,433.120697,205.747437,429.118408,262.895508,134.125626
1042,391.822998,617.807800,341.011627,384.767731,434.828094,200.873810,427.544434,266.753998,123.768265
1043,392.154297,617.742249,340.058258,384.805176,436.744629,196.191437,426.110870,270.563843,113.707443
1044,392.104370,617.717834,339.257782,384.970032,438.858521,191.382202,424.528351,274.554413,104.134804
1045,392.355743,617.944885,338.089874,384.696594,441.009735,187.005249,423.090912,278.975769,94.796516
1046,392.416748,618.332153,337.173706,384.754852,443.328400,182.477493,421.580658,283.180115,86.087547
1047,392.647034,618.880859,336.423950,384.488556,445.651031,178.356705,420.259583,287.597687,77.561081
1048,392.944885,619.490112,335.615112,384.426483,448.041870,174.249115,418.939941,292.017700,69.754341
1049,393.191193,620.077271,334.880310,384.738403,450.216827,170.825180,418.265686,296.606140,62.371368
1050,393.345459,620.394165,334.357880,385.106384,452.291107,167.693909,417.378174,301.286041,54.892773
