DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Orientation (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:55:34.216 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z
1, 1639782924, 0.9941567, -0.0046744216, -0.049439397, -0.095845535
2, 1639799591, 0.9941843, -0.005385152, -0.049123906, -0.09568477
3, 1639816258, 0.9941633, -0.006665494, -0.049542274, -0.09560748
4, 1639832925, 0.9941376, -0.007534553, -0.050026752, -0.09555641
5, 1639849592, 0.9941323, -0.00785601, -0.05031969, -0.09543213
6, 1639866259, 0.99413276, -0.007874585, -0.05065104, -0.09525097
7, 1639882926, 0.9941201, -0.007948413, -0.050979793, -0.095201835
8, 1639899593, 0.99408627, -0.008077882, -0.05140624, -0.09531485
9, 1639916260, 0.9940606, -0.008103208, -0.05161697, -0.09546724
10, 1639932927, 0.99405324, -0.007973328, -0.051731363, -0.0954918
11, 1639949594, 0.99407, -0.007781096, -0.05162194, -0.09539326
12, 1639966261, 0.99411047, -0.007593867, -0.051193528, -0.0952163
13, 1639982928, 0.9941424, -0.0074061933, -0.050948437, -0.095029734
14, 1639999595, 0.99416625, -0.0072003673, -0.05075298, -0.094899595
15, 1640016262, 0.99417883, -0.007104813, -0.05081312, -0.09474307
16, 1640032929, 0.99418163, -0.007104501, -0.0507487, -0.094747335
17, 1640049596, 0.9941979, -0.007091994, -0.050630026, -0.094641626
18, 1640066263, 0.9941999, -0.006962879, -0.05043713, -0.09473336
19, 1640082930, 0.9942447, -0.006962636, -0.050330337, -0.09431969
20, 1640099597, 0.9942308, -0.0070401835, -0.050635673, -0.09429635
21, 1640116264, 0.99419326, -0.007228031, -0.05082709, -0.09457451
22, 1640132931, 0.99415594, -0.0074373004, -0.05089633, -0.09491283
23, 1640149598, 0.9941737, -0.007439874, -0.05062051, -0.09487501
24, 1640166265, 0.99418753, -0.0073798266, -0.050571088, -0.094760284
25, 1640182932, 0.9941818, -0.0074771144, -0.050671328, -0.09475839
26, 1640199599, 0.99418116, -0.0076817246, -0.050706737, -0.09473049
27, 1640216266, 0.99414784, -0.0079180105, -0.050707974, -0.095060155
28, 1640232933, 0.9941607, -0.007945128, -0.050636344, -0.0949603
29, 1640249600, 0.9941883, -0.007822003, -0.050269324, -0.09487779
30, 1640266267, 0.9942223, -0.007765202, -0.050068844, -0.09463201
31, 1640282934, 0.99421096, -0.007855068, -0.050199177, -0.094673604
32, 1640299601, 0.9941852, -0.00794733, -0.050392486, -0.0948342
33, 1640316268, 0.99415994, -0.007912808, -0.050546575, -0.09501948
34, 1640332935, 0.9941441, -0.0077852984, -0.05059183, -0.09517167
35, 1640349602, 0.9941595, -0.0076467004, -0.05064433, -0.094994515
36, 1640366269, 0.9941108, -0.0076701203, -0.05093695, -0.09534456
37, 1640382936, 0.9940839, -0.007729627, -0.051266305, -0.09544405
38, 1640399603, 0.9940728, -0.0077386824, -0.051261414, -0.09555959
39, 1640416270, 0.9941114, -0.0075728893, -0.05108844, -0.095264725
40, 1640432937, 0.99412996, -0.0073959255, -0.0510915, -0.09508402
41, 1640449604, 0.9941224, -0.0073006554, -0.051302522, -0.09505673
42, 1640466271, 0.9941326, -0.0073843426, -0.051622, -0.09476944
43, 1640482938, 0.9941605, -0.007428046, -0.05171474, -0.09442197
44, 1640499605, 0.9942554, -0.0071923328, -0.05124927, -0.093691364
45, 1640516272, 0.9942474, -0.006944243, -0.051074103, -0.093890935
46, 1640532939, 0.99422324, -0.0068562683, -0.051206656, -0.09408088
47, 1640549606, 0.9942069, -0.006985809, -0.051530413, -0.094066344
48, 1640566273, 0.9942064, -0.0069934824, -0.051616192, -0.09402438
49, 1640582940, 0.9942089, -0.0068680467, -0.051544815, -0.09404716
50, 1640599607, 0.99420416, -0.006770089, -0.051476605, -0.09414071
51, 1640616274, 0.99421614, -0.0066789663, -0.05146209, -0.094029054
52, 1640632941, 0.99415076, -0.0067076036, -0.051501244, -0.094694816
53, 1640649608, 0.99413484, -0.006788837, -0.051631745, -0.09478462
54, 1640666275, 0.99414897, -0.006764891, -0.051609565, -0.09464993
55, 1640682942, 0.9941745, -0.0065898346, -0.05132078, -0.094551176
56, 1640699609, 0.9942105, -0.0064052106, -0.051013127, -0.09435197
57, 1640716276, 0.9941944, -0.006334712, -0.051187877, -0.09443225
58, 1640732943, 0.99416345, -0.0063588317, -0.051404, -0.09463962
59, 1640749610, 0.99416786, -0.0063332766, -0.05150619, -0.09453886
60, 1640766277, 0.9941925, -0.006222163, -0.051289998, -0.09440405
61, 1640782944, 0.99422544, -0.006117976, -0.051161334, -0.09413397
62, 1640799611, 0.9942366, -0.0060262745, -0.051207773, -0.09399618
63, 1640816278, 0.99423504, -0.0059081633, -0.05137859, -0.09392757
64, 1640832945, 0.9942342, -0.0057845046, -0.051485535, -0.093885146
65, 1640849612, 0.9942557, -0.0056427787, -0.05143858, -0.093692124
66, 1640866279, 0.99425614, -0.0053354413, -0.051684655, -0.09356957
67, 1640882946, 0.99423474, -0.0050620823, -0.05169564, -0.09380514
68, 1640899613, 0.99426734, -0.0049026217, -0.05195179, -0.09332601
69, 1640916280, 0.9942702, -0.0047583533, -0.051779263, -0.093399465
70, 1640932947, 0.994274, -0.0044724434, -0.05167888, -0.0934279
71, 1640949614, 0.99428105, -0.0040657637, -0.051628135, -0.093401015
72, 1640966281, 0.99433607, -0.0036782185, -0.05147367, -0.09291366
73, 1640982948, 0.99437314, -0.003434277, -0.051383454, -0.092574894
74, 1640999615, 0.9944453, -0.0032788052, -0.051107578, -0.09195693
75, 1641016282, 0.994474, -0.0032048812, -0.051135737, -0.09163358
76, 1641032949, 0.9945444, -0.0032410074, -0.05148451, -0.09066736
77, 1641049616, 0.9945655, -0.0032599878, -0.051693253, -0.09031694
78, 1641066283, 0.9945577, -0.0030703768, -0.051735144, -0.09038456
79, 1641082950, 0.9946295, -0.0028529668, -0.05147085, -0.08974982
80, 1641099617, 0.99467033, -0.0027259598, -0.051205046, -0.08945327
81, 1641116284, 0.994713, -0.002743725, -0.0510296, -0.08907735
82, 1641132951, 0.99470973, -0.0028560732, -0.051129192, -0.08905411
83, 1641149618, 0.994691, -0.0028356933, -0.05115252, -0.089249514
84, 1641166285, 0.994681, -0.002756706, -0.050947905, -0.089479476
85, 1641182952, 0.9946487, -0.0027089235, -0.050892647, -0.089869745
86, 1641199619, 0.99468136, -0.002702968, -0.050944433, -0.08947854
87, 1641216286, 0.99473274, -0.0026940657, -0.05101325, -0.088866286
88, 1641232953, 0.99472606, -0.0027126216, -0.05116036, -0.08885642
89, 1641249620, 0.9947179, -0.0026655497, -0.05105309, -0.08901103
90, 1641266287, 0.99470556, -0.0024779683, -0.050809957, -0.08929194
91, 1641282954, 0.99469215, -0.0025021455, -0.050838068, -0.089426346
92, 1641299621, 0.99470305, -0.002627658, -0.05117506, -0.08910845
93, 1641316288, 0.99469626, -0.0026908685, -0.05130208, -0.089109816
94, 1641332955, 0.99470216, -0.0027794368, -0.051362727, -0.089006715
95, 1641349622, 0.9947403, -0.0028648202, -0.051311933, -0.08860519
96, 1641366289, 0.9947465, -0.0029752, -0.051482856, -0.088431925
97, 1641382956, 0.9947832, -0.002919237, -0.05160536, -0.08794718
98, 1641399623, 0.99480397, -0.002711203, -0.051401764, -0.087838724
99, 1641416290, 0.9948342, -0.0025408766, -0.051359925, -0.08752707
100, 1641432957, 0.9948739, -0.0024432815, -0.05132228, -0.08709918
101, 1641449624, 0.9948853, -0.0025182024, -0.051590335, -0.08680718
102, 1641466291, 0.9949177, -0.00268098, -0.051862516, -0.08626885
103, 1641482958, 0.9949584, -0.0025848637, -0.051879995, -0.08578979
104, 1641499625, 0.99495846, -0.002381469, -0.052017063, -0.0857117
105, 1641516292, 0.9949622, -0.002313897, -0.052927054, -0.085110545
106, 1641532959, 0.9948114, -0.0024789863, -0.054795206, -0.08568428
107, 1641549626, 0.9946376, -0.0030558158, -0.057322208, -0.086029544
108, 1641566293, 0.9944354, -0.0035760358, -0.060879234, -0.08590246
109, 1641582960, 0.99412173, -0.003986096, -0.065852016, -0.08584723
110, 1641599627, 0.9937129, -0.0042709056, -0.07253138, -0.08518108
111, 1641616294, 0.99319303, -0.0045793657, -0.07939347, -0.08510993
112, 1641632961, 0.99259794, -0.0046505313, -0.086463116, -0.08515938
113, 1641649628, 0.9919508, -0.004426135, -0.09391544, -0.08481874
114, 1641666295, 0.9912708, -0.0041404613, -0.100873455, -0.08479283
115, 1641682962, 0.990598, -0.0038468237, -0.10687224, -0.08531902
116, 1641699629, 0.9900372, -0.0031723874, -0.1134603, -0.08332602
117, 1641716296, 0.98890364, -0.0031731923, -0.1237705, -0.08210097
118, 1641732963, 0.9872169, -0.004203973, -0.13753752, -0.080429256
119, 1641749630, 0.98517245, -0.005773361, -0.15201491, -0.07933179
120, 1641766297, 0.9831203, -0.006914583, -0.16514161, -0.07845542
121, 1641782964, 0.9811496, -0.007926251, -0.17665279, -0.07795419
122, 1641799631, 0.979323, -0.008855929, -0.18679915, -0.07716418
123, 1641816298, 0.9768072, -0.010370611, -0.19995919, -0.07587284
124, 1641832965, 0.973342, -0.012437029, -0.21661444, -0.0743576
125, 1641849632, 0.96995807, -0.014409786, -0.23142707, -0.07359108
126, 1641866299, 0.96695954, -0.015149647, -0.24365307, -0.07343769
127, 1641882966, 0.9645765, -0.015321901, -0.25297564, -0.073219255
128, 1641899633, 0.96160054, -0.015947204, -0.26425505, -0.072383985
129, 1641916300, 0.9585974, -0.016571607, -0.275009, -0.07201752
130, 1641932967, 0.95552355, -0.01698991, -0.285483, -0.07201128
131, 1641949634, 0.952638, -0.017174345, -0.29490834, -0.0722151
132, 1641966301, 0.9502444, -0.016875293, -0.30252627, -0.07231051
133, 1641982968, 0.9481656, -0.016384944, -0.3089853, -0.07239912
134, 1641999635, 0.9455632, -0.01636503, -0.3168757, -0.072334655
135, 1642016302, 0.94260794, -0.016720658, -0.32553726, -0.07236288
136, 1642032969, 0.9391334, -0.017355856, -0.3354086, -0.07230832
137, 1642049636, 0.9361567, -0.017455705, -0.34363312, -0.07226823
138, 1642066303, 0.933016, -0.017512327, -0.35211146, -0.072055124
139, 1642082970, 0.93025345, -0.017556423, -0.35940737, -0.07173986
140, 1642099637, 0.9275518, -0.017857837, -0.3663568, -0.07149526
141, 1642116304, 0.9246665, -0.018005738, -0.37361854, -0.071253695
142, 1642132971, 0.92171365, -0.018039217, -0.38088492, -0.07103099
143, 1642149638, 0.91873056, -0.018031932, -0.38810718, -0.07058378
144, 1642166305, 0.91593266, -0.018178357, -0.3947798, -0.06989996
145, 1642182972, 0.91311514, -0.018417839, -0.40135688, -0.06924075
146, 1642199639, 0.91026884, -0.018863464, -0.40781927, -0.06883741
147, 1642216306, 0.9073262, -0.019374553, -0.4143708, -0.06841679
148, 1642232973, 0.90362924, -0.0200355, -0.4224952, -0.06746088
149, 1642249640, 0.9000663, -0.020315895, -0.4302082, -0.06625018
150, 1642266307, 0.8969804, -0.020243753, -0.4367949, -0.065015465
151, 1642282974, 0.89361745, -0.020153755, -0.44383472, -0.06366067
152, 1642299641, 0.8898918, -0.020271579, -0.45147854, -0.062040843
153, 1642316308, 0.8860268, -0.020953191, -0.45926446, -0.0599505
154, 1642332975, 0.8822332, -0.021902004, -0.46670002, -0.058107052
155, 1642349642, 0.87854105, -0.022563197, -0.47374946, -0.056728963
156, 1642366309, 0.87439066, -0.023227714, -0.48153248, -0.055029355
157, 1642382976, 0.87015176, -0.024061354, -0.48931226, -0.053205956
158, 1642399643, 0.8659165, -0.024767704, -0.4969122, -0.051511444
159, 1642416310, 0.86162907, -0.024927823, -0.5044092, -0.050451938
160, 1642432977, 0.8578898, -0.024897497, -0.51080257, -0.049864218
161, 1642449644, 0.8541998, -0.024809638, -0.5170314, -0.049052443
162, 1642466311, 0.8506838, -0.024944834, -0.5228455, -0.048452582
163, 1642482978, 0.84747326, -0.025341377, -0.52802753, -0.048314504
164, 1642499645, 0.844287, -0.025745608, -0.53312105, -0.047947254
165, 1642516312, 0.8412397, -0.026237486, -0.53794634, -0.047340527
166, 1642532979, 0.83844525, -0.02675875, -0.5423164, -0.046764303
167, 1642549646, 0.836131, -0.027041001, -0.54589117, -0.04644125
168, 1642566313, 0.8335943, -0.027171787, -0.54981345, -0.04568917
169, 1642582980, 0.8310281, -0.02717349, -0.55376154, -0.044745736
170, 1642599647, 0.82874435, -0.027316462, -0.5572258, -0.044001736
171, 1642616314, 0.8272116, -0.027463518, -0.5595558, -0.043177966
172, 1642632981, 0.8256725, -0.027486883, -0.5619006, -0.042159148
173, 1642649648, 0.8238025, -0.02716347, -0.56472445, -0.04120983
174, 1642666315, 0.8220138, -0.026885288, -0.56737447, -0.04070717
175, 1642682982, 0.8207466, -0.026510723, -0.5692266, -0.04066631
176, 1642699649, 0.8200099, -0.02573575, -0.5702836, -0.041211046
177, 1642716316, 0.81913096, -0.024474826, -0.57154465, -0.041981068
178, 1642732983, 0.81762636, -0.02350604, -0.5737117, -0.042305864
179, 1642749650, 0.8170983, -0.022737991, -0.5744826, -0.042465
180, 1642766317, 0.81587774, -0.021989698, -0.57627136, -0.04209043
181, 1642782984, 0.81425077, -0.02153248, -0.57861197, -0.04172016
182, 1642799651, 0.8124911, -0.021355493, -0.581085, -0.041740127
183, 1642816318, 0.8101783, -0.021539092, -0.5842849, -0.041936737
184, 1642832985, 0.80804276, -0.021782879, -0.58722126, -0.041998155
185, 1642849652, 0.80558497, -0.021883078, -0.5905958, -0.041843485
186, 1642866319, 0.8023627, -0.02169909, -0.5949969, -0.041497555
187, 1642882986, 0.7984297, -0.021572448, -0.6002704, -0.041476596
188, 1642899653, 0.7947296, -0.021903928, -0.6051157, -0.041955482
189, 1642916320, 0.79130936, -0.022549078, -0.60951656, -0.04255464
190, 1642932987, 0.78802586, -0.02319317, -0.61369586, -0.043069016
191, 1642949654, 0.78566206, -0.02317308, -0.6166809, -0.043623004
192, 1642966321, 0.78267056, -0.022452548, -0.6205127, -0.04343894
193, 1642982988, 0.7793454, -0.021913845, -0.62474006, -0.0429012
194, 1642999655, 0.7760248, -0.02151509, -0.6289133, -0.042317353
195, 1643016322, 0.7729407, -0.021106271, -0.6327658, -0.041530475
196, 1643032989, 0.7698638, -0.020964427, -0.63655144, -0.040898696
197, 1643049656, 0.76740927, -0.020666126, -0.63952094, -0.04085525
198, 1643066323, 0.7655554, -0.020265518, -0.64175177, -0.040857356
199, 1643082990, 0.76365256, -0.019710695, -0.64407814, -0.040121175
200, 1643099657, 0.76092213, -0.019506771, -0.6473777, -0.03897616
201, 1643116324, 0.7582081, -0.01969368, -0.65061015, -0.03793549
202, 1643132991, 0.7563322, -0.020017477, -0.6528246, -0.037164625
203, 1643149658, 0.7547241, -0.020095073, -0.654719, -0.03648688
204, 1643166325, 0.75393414, -0.019772151, -0.6556433, -0.036394205
205, 1643182992, 0.75404406, -0.01938986, -0.6555041, -0.036828548
206, 1643199659, 0.7545545, -0.019038346, -0.65490234, -0.037258983
207, 1643216326, 0.7557345, -0.018584138, -0.6535258, -0.03773833
208, 1643232993, 0.75662607, -0.01810538, -0.65247583, -0.038268764
